㒼	mɤ˨˩˧$
㔶	koŋ˦˨˧$
㚇	ʦoŋ˦˨˧$
㧊	bɔʔ˨$
㧙	biəʔ˨$
㧦	ɕiɤ˥$
㨄	diaɤ˨˩˧$
㨟	gɛ˨˩˧$
㩍	saʔ˥$
㩝	ɦaɤ˨˩˧$
㪬	ʣɔʔ˨$
㫰	laŋ˨˦$
㷈	əʔ˥$
㽱	kaɤ˧˦$
㽹	fɛ˧˦$
㾂	hæi˥$
㿭	ʦʰaʔ˥$
㿯	taʔ˥$
䄸	pʰɔʔ˥$
䈆	da˨˦$
䉬	fi˦˨˧$
䊓	ʣʮ˨˦$
䌟	pɔʔ˥$
䐥	oŋ˧˦$
䐬	zaɤ˨˩˧$
䚠	ɦuən˨˦$
䛛	ɦuæi˨˩˧$
䛬	tiaɤ˥$
䞁	iɪ˦˨˧$
䞑	ɦoŋ˨˦$
䩍	liaɤ˨˩˧$
䫀	kən˧˦$
䫜	aɤ˥$
䴱	tʰɤɯ˥$
䵑	ȵin˨˦$
䵬	tʰaʔ˥$
䶕	bo˨˩˧$
一	iəʔ˥$
丁	tin˥$
七	ʦʰiəʔ˥$
万	vɛ˨˦$
丈	ʣaŋ˨˦$
三	sɛ˥$
上	zaŋ˨˦$
下	ɦia˨˦$
不	pəʔ˥$
与	ɦy˨˩˧$
丑	ʦʰei˧˦$
专	ʦɤ˥$
且	ʦʰia˧˦$
丕	pʰæi˥$
世	sɿ˧˦$
丘	ʨʰiɤɯ˥$
丙	pin˥$
业	ȵiəʔ˨$
丛	zoŋ˨˩˧$
东	toŋ˥$
丝	sɿ˥$
丞	ʣən˨˩˧$
丟	tei˥$
丢	tei˥$
两	liaŋ˧˦$
严	ȵiɪ˨˩˧$
並	bin˨˦$
丧	saŋ˧˦$
个	kəʔ˥$
丫	o˥$
中	ʦoŋ˦˨˧$
丰	foŋ˥$
串	ʦʰɤ˦˨˧$
临	lin˨˩˧$
丸	ɦuɤ˨˩˧$
丹	tɛ˥$
为	ɦuæi˨˩˧$
主	ʦʮ˧˦$
丽	li˨˦$
举	ʨy˧˦$
乃	na˨˩˧$
