㒻	mɔ˦˦˥$
㓟	pʰi˦˦˥$
㝱	iɤ˦˦˥$
㠾	yoʔ˥$
㨟	he˦˦˥$
㪗	tʰɤ˦˦˥$
㪼	kʰɷu˦˦˥$
㫰	lɔ̃˨˨˧$
㶒	tʰẽ˦˦˥$
㷟	tʰe˦˦˥$
㹙	ã˦˦˥$
㼑	liẽ˨˨˧$
㽹	fæ̃˦˦˥$
㽺	ɕieʔ˥$
㾂	hẽ˦˦˥$
䂑	ʦɿ˦˦˥$
䈆	da˨˨˧$
䌥	ieŋ˦˦˥$
䐥	oŋ˦˦˥$
䢚	kã˦˦˥$
䥛	ʨieʔ˥$
䦆	ʨyeʔ˥$
䩍	liɔ˨˨˧$
䫘	ʥieʔ˨$
䫛	ɦɤ˨˨˧$
䶕	bo˨˨˧$
丁	teŋ˦˦˥$
七	ʨʰieʔ˥$
万	væ̃˨˨˧$
丈	ʣã˨˨˧$
三	sæ̃˦˦˥$
上	zɔ̃˨˨˧$
下	ɦo˨˨˧$
不	peʔ˥$
与	ɦy˨˨˧$
丐	ke˦˦˥$
丑	ʦʰɤ˦˦˥$
专	ʦẽ˦˦˥$
且	ʨʰia˦˦˥$
丕	pʰe˦˦˥$
丘	ʨʰiɤ˦˦˥$
丙	peŋ˦˦˥$
业	ȵieʔ˨$
丛	ʣoŋ˨˨˧$
东	toŋ˦˦˥$
两	liã˨˨˧$
严	ȵiẽ˨˨˧$
並	beŋ˨˨˧$
丧	sɔ̃˦˦˥$
个	kɷu˦˦˥$
丫	ia˦˦˥$
中	ʦoŋ˦˦˥$
丰	foŋ˦˦˥$
串	ʦʰẽ˦˦˥$
临	leŋ˨˨˧$
丸	ɦuœ̃˨˨˧$
丹	tæ̃˦˦˥$
为	ɦue˨˨˧$
主	ʦʮ˦˦˥$
丽	li˨˨˧$
举	ʨy˦˦˥$
义	ȵi˨˨˧$
之	ʦɿ˦˦˥$
乌	u˦˦˥$
乍	ʣa˨˨˧$
乎	ɦu˨˨˧$
乏	vaʔ˨$
乐	loʔ˨$
乒	pʰeŋ˦˦˥$
乓	pʰã˦˦˥$
乔	ʥiɔ˨˨˧$
乖	kua˦˦˥$
乘	ʦʰeŋ˦˦˥$
乙	ieʔ˥$
九	ʨiɤ˦˦˥$
乞	ʨʰieʔ˥$
也	iẽ˦˦˥$
乡	ɕiã˦˦˥$
书	sʮ˦˦˥$
买	ma˨˨˧$
乱	lœ̃˨˨˧$
乳	zʮ˨˨˧$
乾	ʥiẽ˨˨˧$
亂	lœ̃˨˨˧$
了	liɔ˨˨˧$
予	ɦy˨˨˧$
争	ʦã˦˦˥$
二	ȵi˨˨˧$
于	y˦˦˥$
亏	kʰue˦˦˥$
云	ɦyeŋ˨˨˧$
互	ɦu˨˨˧$
五	ŋ̩˨˨˧$
亘	keŋ˦˦˥$
亙	keŋ˦˦˥$
亚	ia˦˦˥$
亞	ia˦˦˥$
亡	vɔ̃˨˨˧$
亢	kʰɔ̃˦˦˥$
交	kɔ˦˦˥$
亥	ɦe˨˨˧$
亦	ɦaʔ˨$
产	ʦʰæ̃˦˦˥$
亨	hã˦˦˥$
亩	mɤ˨˨˧$
享	ɕiã˦˦˥$
京	ʨieŋ˦˦˥$
亭	deŋ˨˨˧$
亮	liã˨˨˧$
亲	ʨʰieŋ˦˦˥$
亳	boʔ˨$
人	zeŋ˨˨˧$
仁	zeŋ˨˨˧$
仂	lɤʔ˨$
仅	ʥieŋ˨˨˧$
仆	boʔ˨$
仇	ʣɤ˨˨˧$
今	ʨieŋ˦˦˥$
介	ka˦˦˥$
仍	ʣəŋ˨˨˧$
从	ʣoŋ˨˨˧$
仑	lyeŋ˨˨˧$
仓	ʦʰɔ̃˦˦˥$
仕	zɿ˨˨˧$
他	tʰa˦˦˥$
仗	ʣã˨˨˧$
付	fu˦˦˥$
仙	ɕiẽ˦˦˥$
仞	zeŋ˨˨˧$
代	de˨˨˧$
令	leŋ˨˨˧$
以	ɦi˨˨˧$
仪	ȵi˨˨˧$
仲	ʣoŋ˨˨˧$
件	ʥiẽ˨˨˧$
任	ȵieŋ˨˨˧$
份	meŋ˨˨˧$
仿	fɔ̃˦˦˥$
企	ʨʰi˦˦˥$
伊	i˦˦˥$
伍	ɦu˨˨˧$
伏	voʔ˨$
伐	vaʔ˨$
休	ɕiɤ˦˦˥$
伕	fu˦˦˥$
众	ʦoŋ˦˦˥$
优	iɤ˦˦˥$
伙	hɷu˦˦˥$
会	kue˦˦˥$
伞	sæ̃˦˦˥$
伟	ɦue˨˨˧$
传	ʣẽ˨˨˧$
伤	sɔ̃˦˦˥$
伦	lyeŋ˨˨˧$
伪	ɦue˨˨˧$
伯	paʔ˥$
估	ku˦˦˥$
伴	bœ̃˨˨˧$
伶	leŋ˨˨˧$
伸	seŋ˦˦˥$
似	zɿ˨˨˧$
但	dæ̃˨˨˧$
佈	pu˦˦˥$
位	ɦue˨˨˧$
低	ti˦˦˥$
住	ʣʮ˨˨˧$
佐	ʦɷu˦˦˥$
佑	ɦiɤ˨˨˧$
体	tʰi˦˦˥$
佔	ʦẽ˦˦˥$
何	ɦɷu˨˨˧$
佗	dɷu˨˨˧$
佘	ʣo˨˨˧$
余	ɦy˨˨˧$
佚	ɦieʔ˨$
佛	veʔ˨$
作	ʦoʔ˥$
佞	ȵieŋ˨˨˧$
佟	doŋ˨˨˧$
你	ni˨˨˧$
佢	ge˨˨˧$
佣	ɦioŋ˨˨˧$
佩	be˨˨˧$
佬	lɔ˨˨˧$
佯	ɦiã˨˨˧$
佳	ʨia˦˦˥$
佻	tʰiɔ˦˦˥$
侃	kʰæ̃˦˦˥$
侄	ʣeʔ˨$
來	le˨˨˧$
侈	ʦʰɿ˦˦˥$
例	li˨˨˧$
侍	zɿ˨˨˧$
侖	lyeŋ˨˨˧$
供	koŋ˦˦˥$
依	i˦˦˥$
侠	ɦiaʔ˨$
侧	ʦɤʔ˥$
侩	kue˦˦˥$
侬	noŋ˨˨˧$
侯	ɦɤ˨˨˧$
侵	ʨʰieŋ˦˦˥$
便	biẽ˨˨˧$
促	ʦʰoʔ˥$
俄	ŋɷu˨˨˧$
俏	ʨʰiɔ˦˦˥$
俑	ioŋ˦˦˥$
俗	zoʔ˨$
俘	fu˦˦˥$
保	pɔ˦˦˥$
俟	zɿ˨˨˧$
俠	ɦiaʔ˨$
俦	ʣɤ˨˨˧$
俨	ȵiẽ˨˨˧$
俭	ʥiẽ˨˨˧$
修	ɕiɤ˦˦˥$
俯	fu˦˦˥$
俱	ʥy˨˨˧$
俸	foŋ˦˦˥$
倉	ʦʰɔ̃˦˦˥$
個	kɷu˦˦˥$
倌	kuœ̃˦˦˥$
倍	be˨˨˧$
倏	soʔ˥$
倒	tɔ˦˦˥$
倔	ʥyeʔ˨$
倖	ɦieŋ˨˨˧$
候	ɦɤ˨˨˧$
倚	i˦˦˥$
倜	tʰeʔ˥$
借	ɦia˨˨˧$
倡	ʦʰɔ̃˦˦˥$
倩	ʨʰiẽ˦˦˥$
倪	ȵi˨˨˧$
倫	lyeŋ˨˨˧$
债	ʦa˦˦˥$
值	ʣɤʔ˨$
倾	ʨʰieŋ˦˦˥$
偃	iẽ˦˦˥$
假	ko˦˦˥$
偉	ɦue˨˨˧$
做	ʦɷu˦˦˥$
健	ʥiẽ˨˨˧$
側	ʦɤʔ˥$
偶	ȵiɤ˨˨˧$
偷	tʰɤ˦˦˥$
偽	ɦue˨˨˧$
偿	ʣɔ̃˨˨˧$
傀	kʰue˦˦˥$
傅	fu˦˦˥$
傍	bɔ̃˨˨˧$
傑	ʥieʔ˨$
傘	sæ̃˦˦˥$
備	be˨˨˧$
傥	tʰɔ̃˦˦˥$
傧	peŋ˦˦˥$
储	ʣʮ˨˨˧$
催	ʦʰe˦˦˥$
傭	ɦioŋ˨˨˧$
傲	ŋɔ˨˨˧$
傳	ʣẽ˨˨˧$
債	ʦa˦˦˥$
傷	sɔ̃˦˦˥$
傻	sa˦˦˥$
傾	ʨʰieŋ˦˦˥$
僅	ʥieŋ˨˨˧$
像	ʥiã˨˨˧$
僕	boʔ˨$
僧	səŋ˦˦˥$
僭	ʨiẽ˦˦˥$
僮	doŋ˨˨˧$
僻	pʰeʔ˥$
儀	ȵi˨˨˧$
儂	noŋ˨˨˧$
儆	ʨieŋ˦˦˥$
儇	huæ̃˦˦˥$
儈	kue˦˦˥$
儉	ʥiẽ˨˨˧$
儐	peŋ˦˦˥$
儒	zʮ˨˨˧$
儔	ʣɤ˨˨˧$
償	ʣɔ̃˨˨˧$
儡	le˨˨˧$
優	iɤ˦˦˥$
儲	ʣʮ˨˨˧$
儻	tʰɔ̃˦˦˥$
儼	ȵiẽ˨˨˧$
儿	ŋ̩˨˨˧$
允	ɦyeŋ˨˨˧$
元	ȵyœ̃˨˨˧$
兄	ɕioŋ˦˦˥$
充	ʦʰoŋ˦˦˥$
兆	zɔ˨˨˧$
先	ɕiẽ˦˦˥$
光	kuã˦˦˥$
克	kʰeʔ˥$
兌	de˨˨˧$
免	miẽ˨˨˧$
兑	de˨˨˧$
兒	ŋ̩˨˨˧$
兔	tʰu˦˦˥$
兖	ɦiẽ˨˨˧$
兗	ɦiẽ˨˨˧$
党	tɔ̃˦˦˥$
兜	tɤ˦˦˥$
兢	ʥieŋ˨˨˧$
入	zeʔ˨$
內	ne˨˨˧$
全	ʥiẽ˨˨˧$
兩	liã˨˨˧$
八	paʔ˥$
公	koŋ˦˦˥$
六	loʔ˨$
兮	ɦi˨˨˧$
兰	læ̃˨˨˧$
共	goŋ˨˨˧$
关	kuæ̃˦˦˥$
兴	ɕieŋ˦˦˥$
兵	peŋ˦˦˥$
其	ʥi˨˨˧$
具	ʥy˨˨˧$
典	tiẽ˦˦˥$
兹	ʦɿ˦˦˥$
养	ɦiã˨˨˧$
兼	ʨiẽ˦˦˥$
兽	sɤ˦˦˥$
冀	ʨi˦˦˥$
内	ne˨˨˧$
冈	kɔ̃˦˦˥$
冊	ʦʰɤʔ˥$
册	ʦʰɤʔ˥$
再	ʦe˦˦˥$
冒	mɔ˨˨˧$
写	ɕia˦˦˥$
军	ʨyeŋ˦˦˥$
农	noŋ˨˨˧$
冠	kuœ̃˦˦˥$
冤	yœ̃˦˦˥$
冪	meʔ˨$
冬	toŋ˦˦˥$
冯	voŋ˨˨˧$
冰	peŋ˦˦˥$
冲	ʦʰoŋ˦˦˥$
决	ʨyeʔ˥$
况	huɔ̃˦˦˥$
