㜺	ʦã˧˧˥$
㞘	toʔ˥$
㦼	ʨʰyɔ̃˧˧˥$
㧕	lei˨˩˨$
㧺	tʰaʔ˥$
㩝	ɔ˩˩˧$
㫰	lɔ̃˧˧˥$
㭾	ʥyoʔ˨$
㲀	ʦeŋ˥˧$
㳠	tʰaʔ˥$
㶭	iʊ˧˧˥$
㷟	tʰɛ˥˧$
㹙	ã˥˧$
㽹	fã˧˧˥$
㽺	ɕieʔ˥$
䂻	ʣã˨˩˨$
䈆	da˩˩˧$
䏘	pʰieʔ˥$
䓣	mɛ̃˩˩˧$
䞁	iɛ̃˧˧˥$
䢚	kã˥˧$
䥛	kieʔ˥$
䪆	tʰi˧˧˥$
䬵	gɛ˨˩˨$
䱗	ʦʰɛ̃˥˧$
䶓	ʨia˧˧˥$
䶕	bo˨˩˨$
一	ieʔ˥$
丁	tiŋ˥˧$
七	ʨʰieʔ˥$
万	vã˨˩˨$
丈	ʣã˨˩˨$
三	sã˥˧$
上	lɔ̃˧˧˥$
下	o˨˩˨$
不	peʔ˥$
丐	kɛ˧˧˥$
丑	ʨʰiʊ˦˨˦$
专	ʨyɛ̃˥˧$
且	ʨʰieʔ˥$
世	sɿ˧˧˥$
丘	ʨʰiʊ˥˧$
丙	piŋ˦˨˦$
业	ȵieʔ˨$
丛	ʣoŋ˩˩˧$
东	toŋ˥˧$
丝	sɿ˥˧$
丞	ʣeŋ˩˩˧$
两	niã˨˩˨$
严	ȵiɛ̃˩˩˧$
並	biŋ˨˩˨$
丧	sɔ̃˥˧$
个	kʊ˧˧˥$
丫	o˥˧$
中	ʨyoŋ˥˧$
丰	foŋ˥˧$
串	ʨʰyɛ̃˥˧$
临	niŋ˩˩˧$
丹	tã˥˧$
为	uɛ˧˧˥$
主	ʨy˦˨˦$
丽	li˧˧˥$
举	ʨy˦˨˦$
乃	nɛ˩˩˧$
久	ʨiʊ˦˨˦$
义	ȵi˧˧˥$
之	ʦɿ˥˧$
乌	u˥˧$
乎	u˩˩˧$
乏	vaʔ˨$
乐	loʔ˨$
乒	pʰiŋ˥˧$
乔	ʥiɔ˩˩˧$
乖	kuɛ˥˧$
乘	ʣeŋ˩˩˧$
乙	ieʔ˥$
九	ʨiʊ˦˨˦$
乞	ʨʰieʔ˥$
也	iaʔ˨$
乡	ɕiã˥˧$
书	ɕy˥˧$
买	ma˨˩˨$
乱	lɛ̃˧˧˥$
乳	y˨˩˨$
乾	ʥiɛ̃˩˩˧$
亂	lɛ̃˧˧˥$
了	liɔ˨˩˨$
争	ʦã˥˧$
事	zɿ˨˩˨$
二	l̩˥˧$
于	y˩˩˧$
亏	kʰuɛ˥˧$
云	yŋ˩˩˧$
互	u˨˩˨$
五	u˨˩˨$
井	ʨiŋ˦˨˦$
亚	ia˧˧˥$
亞	ia˧˧˥$
亡	vɔ̃˨˩˨$
交	gɔ˩˩˧$
亥	eʔ˨$
产	so˦˨˦$
亩	m̩˨˩˨$
享	ɕiã˦˨˦$
京	ʨiŋ˥˧$
亭	diŋ˩˩˧$
亮	niã˧˧˥$
亲	ʨʰiŋ˥˧$
人	ȵiŋ˩˩˧$
亿	i˧˧˥$
仁	ʑiŋ˩˩˧$
仆	boʔ˨$
仇	ʥiʊ˩˩˧$
今	kiŋ˥˧$
介	ka˧˧˥$
仍	ȵiŋ˧˧˥$
从	ʣoŋ˩˩˧$
仑	leŋ˩˩˧$
仓	ʦʰɔ̃˥˧$
仕	zɿ˨˩˨$
他	tʰa˥˧$
仗	ʣã˨˩˨$
付	fu˧˧˥$
仙	ɕiɛ̃˥˧$
代	dɛ˨˩˨$
令	niŋ˧˧˥$
以	i˥˧$
仪	ȵi˩˩˧$
们	meŋ˩˩˧$
仰	ȵiã˨˩˨$
仲	ʨyoŋ˧˧˥$
件	ʥiɛ̃˨˩˨$
价	ko˧˧˥$
任	ʑiŋ˨˩˨$
份	veŋ˨˩˨$
仿	fɔ̃˦˨˦$
企	ʨʰi˦˨˦$
伍	u˨˩˨$
伏	bu˨˩˨$
伐	vaʔ˨$
休	ɕiʊ˥˧$
众	ʨyoŋ˥˧$
优	iʊ˥˧$
伙	hu˦˨˦$
会	kuɛ˧˧˥$
伞	sã˧˧˥$
伟	uɛ˨˩˨$
传	ʥyɛ̃˩˩˧$
伢	ŋo˩˩˧$
伤	sɔ̃˥˧$
伦	leŋ˩˩˧$
伯	paʔ˥$
估	ku˥˧$
伴	bɛ̃˨˩˨$
伸	ɕiŋ˥˧$
似	zɿ˨˩˨$
但	dã˨˩˨$
低	ti˥˧$
住	ʥy˨˩˨$
佐	ʦʊ˦˨˦$
佑	iʊ˨˩˨$
体	tʰi˦˨˦$
佔	ʨiɛ̃˧˧˥$
何	a˩˩˧$
佘	zo˩˩˧$
余	y˩˩˧$
佛	feʔ˥$
作	ʦoʔ˥$
佣	yoŋ˧˧˥$
佩	bɛ˨˩˨$
佬	lɔ˨˩˨$
佮	kieʔ˥$
佳	ko˥˧$
佻	tʰiɔ˥˧$
使	sɿ˦˨˦$
侄	ʣeʔ˨$
來	lɛ˩˩˧$
例	li˧˧˥$
侍	zɿ˨˩˨$
侖	leŋ˩˩˧$
供	koŋ˧˧˥$
依	i˥˧$
侠	iaʔ˨$
侣	li˨˩˨$
侦	ʦeŋ˥˧$
侧	ʦeʔ˥$
侨	ʥiɔ˩˩˧$
侮	vu˨˩˨$
侯	ei˩˩˧$
侵	ʨʰiŋ˥˧$
侶	li˨˩˨$
便	biɛ̃˨˩˨$
促	ʦʰoʔ˥$
俄	ŋʊ˩˩˧$
俊	ʨiŋ˥˧$
俏	ʨʰiɔ˧˧˥$
俑	yoŋ˦˨˦$
俗	zoʔ˨$
俘	fu˥˧$
保	pɔ˦˨˦$
俞	y˩˩˧$
俠	iaʔ˨$
信	ɕiŋ˧˧˥$
俨	ȵiɛ̃˩˩˧$
俭	ʥiɛ̃˨˩˨$
修	ɕiʊ˥˧$
俱	ʥy˨˩˨$
倉	ʦʰɔ̃˥˧$
個	kʊ˧˧˥$
倌	kuɛ̃˥˧$
倍	bɛ˨˩˨$
們	meŋ˩˩˧$
倒	tɔ˧˧˥$
倔	ʥyoʔ˨$
倘	tʰɔ̃˥˧$
候	ei˨˩˨$
倚	i˦˨˦$
借	ʨia˧˧˥$
倡	ʦʰɔ̃˧˧˥$
倪	ȵi˩˩˧$
倫	leŋ˩˩˧$
倭	u˥˧$
债	ʦa˧˧˥$
值	ʣeʔ˨$
倾	ʨʰiŋ˥˧$
假	ko˦˨˦$
偉	uɛ˨˩˨$
偏	pʰiɛ̃˥˧$
做	ʦʊ˧˧˥$
停	diŋ˩˩˧$
健	ʥiɛ̃˨˩˨$
側	ʦeʔ˥$
偵	ʦeŋ˥˧$
偶	ŋiʊ˨˩˨$
偷	tʰei˥˧$
偿	sɔ̃˥˧$
傀	kʰuɛ˥˧$
傅	fu˧˧˥$
傍	bɔ̃˩˩˧$
傑	ʥieʔ˨$
傘	sã˧˧˥$
備	bɛ˨˩˨$
储	ʑy˨˩˨$
催	ʦʰɛ˥˧$
傭	yoŋ˧˧˥$
傲	ŋɔ˧˧˥$
傳	ʥyɛ̃˩˩˧$
債	ʦa˧˧˥$
傷	sɔ̃˥˧$
傾	ʨʰiŋ˥˧$
僎	ʣɛ̃˨˩˨$
像	ʑiã˨˩˨$
僑	ʥiɔ˩˩˧$
僕	boʔ˨$
僚	liɔ˩˩˧$
僧	ʦeŋ˥˧$
僵	ʨiã˥˧$
價	ko˧˧˥$
僻	pʰieʔ˥$
儀	ȵi˩˩˧$
億	i˧˧˥$
儉	ʥiɛ̃˨˩˨$
儒	y˩˩˧$
償	sɔ̃˥˧$
儡	lɛ˨˩˨$
優	iʊ˥˧$
儲	ʑy˨˩˨$
儼	ȵiɛ̃˩˩˧$
儿	l̩˩˩˧$
允	yŋ˩˩˧$
元	yɛ̃˩˩˧$
兄	ɕyoŋ˥˧$
充	ʨʰyoŋ˥˧$
兆	ʣɔ˨˩˨$
先	ɕiɛ̃˥˧$
光	kuɔ̃˥˧$
克	kʰieʔ˥$
兌	dɛ˨˩˨$
免	miɛ̃˨˩˨$
兑	dɛ˨˩˨$
兒	l̩˩˩˧$
兔	tʰʊ˧˧˥$
党	tɔ̃˥˧$
兜	tei˥˧$
入	ȵieʔ˨$
內	nɛ˧˧˥$
全	ʥiɛ̃˩˩˧$
兩	niã˨˩˨$
八	poʔ˥$
公	koŋ˥˧$
六	loʔ˨$
兮	ɕi˥˧$
兰	lã˩˩˧$
共	goŋ˨˩˨$
关	kuã˥˧$
兴	ɕiŋ˧˧˥$
兵	piŋ˥˧$
其	ʥi˩˩˧$
具	ʥy˨˩˨$
典	tiɛ̃˦˨˦$
兹	ʣɿ˩˩˧$
养	iã˧˧˥$
兼	ʨiɛ̃˥˧$
兽	ɕiʊ˧˧˥$
内	nɛ˧˧˥$
冈	kɔ̃˧˧˥$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦɛ˧˧˥$
冒	mɔ˧˧˥$
写	ɕia˦˨˦$
农	loŋ˩˩˧$
冠	kuɛ˥˧$
冢	ʨyoŋ˦˨˦$
冤	yɛ̃˥˧$
冥	miŋ˩˩˧$
冬	toŋ˥˧$
冯	voŋ˩˩˧$
冰	piŋ˥˧$
冲	ʨʰyoŋ˧˧˥$
决	ʨyoʔ˥$
况	huɔ̃˧˧˥$
冶	iɛ̃˨˩˨$
冷	lã˨˩˨$
冻	toŋ˧˧˥$
净	ȵiŋ˧˧˥$
凄	ʨʰi˥˧$
准	ʦeŋ˦˨˦$
凉	niã˩˩˧$
凌	niŋ˩˩˧$
凍	toŋ˧˧˥$
减	kã˦˨˦$
凑	ʨʰiʊ˧˧˥$
凝	ȵi˩˩˧$
几	ʨi˦˨˦$
凡	vã˩˩˧$
凤	voŋ˨˩˨$
凭	biŋ˩˩˧$
凯	kʰɛ˥˧$
凰	uɔ̃˩˩˧$
凱	kʰɛ˥˧$
凳	teŋ˧˧˥$
凶	ɕyoŋ˥˧$
凸	deʔ˨$
凹	ɔ˥˧$
出	ʦʰeʔ˥$
击	ʨieʔ˥$
凼	dɔ̃˨˩˨$
函	ɛ̃˩˩˧$
凿	zoʔ˨$
刀	tɔ˥˧$
刁	tiɔ˥˧$
刃	zeŋ˨˩˨$
分	feŋ˥˧$
切	ʨʰieʔ˥$
刊	kʰã˥˧$
划	uaʔ˨$
刘	lei˩˩˧$
则	ʦeʔ˥$
刚	kɔ̃˥˧$
创	ʦʰɔ̃˧˧˥$
初	ʦʰʊ˥˧$
删	sã˥˧$
判	pʰɛ̃˧˧˥$
別	bieʔ˨$
刨	bɔ˨˩˨$
利	li˧˧˥$
刪	sã˥˧$
别	bieʔ˨$
刮	kuaʔ˥$
到	tɔ˧˧˥$
制	ʦɿ˧˧˥$
刷	ɕieʔ˥$
券	ʨʰyɛ̃˧˧˥$
刺	ʦʰɿ˧˧˥$
刻	kʰieʔ˥$
剁	toʔ˥$
剂	ʨi˧˧˥$
剃	tʰi˧˧˥$
則	ʦeʔ˥$
削	ɕiaʔ˥$
