㔶	kɪ˧˦$
㚇	ʦoŋ˥˧$
㜺	ʦᴇ˩˧$
㩝	ɦɔ˧˩$
㩭	ziɔ˧˩$
㫰	lɑ̃˩˧$
㲀	ʦəŋ˥˧$
㶒	tʰəŋ˧˦$
㷈	əʔ˥$
㼭	dᴇ˩˧$
㽘	ɦɑ̃˩˧$
㽹	fᴇ˧˦$
䀫	kᴀʔ˥$
䂻	zã˩˧$
䃙	loʔ˨$
䇲	kᴀʔ˥$
䈆	dᴀ˩˧$
䈳	dᴀʔ˨$
䉬	fi˧˦$
䊓	zɿ˩˧$
䐥	oŋ˧˦$
䔕	bu˩˧$
䞁	ɪ˧˦$
䟒	ʥiɤ˧˩$
䠰	ʥiɤ˧˩$
䥛	ʨiɪʔ˥$
䩍	liɔ˧˩$
䫜	ɔ˥˧$
䶕	bo˧˩$
一	iɪʔ˥$
丁	tiŋ˥˧$
七	ʦʰiɪʔ˥$
万	mᴇ˩˧$
丈	zã˩˧$
三	sᴇ˥˧$
上	zɑ̃˩˧$
下	ɕiᴀ˧˦$
不	pəʔ˥$
与	y˧˦$
丐	kᴇ˧˦$
丑	ʦʰø˧˦$
专	ʦɪ˥˧$
且	ʦʰiᴀ˧˦$
丕	pʰi˥˧$
世	sɿ˧˦$
丘	ʨʰy˥˧$
丙	piŋ˧˦$
业	ȵiɪʔ˨$
丛	zoŋ˧˩$
东	toŋ˥˧$
丝	sɿ˥˧$
丞	zəŋ˧˩$
丟	ty˥˧$
丢	ty˥˧$
两	liã˩˧$
严	ȵɪ˧˩$
並	biŋ˩˧$
丧	sɑ̃˧˦$
个	ku˧˦$
丫	o˥˧$
中	ʦoŋ˧˦$
丰	foŋ˥˧$
串	ʦʰɪ˧˦$
临	liŋ˧˩$
丸	ɦuɪ˧˩$
丹	tᴇ˥˧$
为	ɦuɪ˧˩$
主	ʦʮ˧˦$
丽	li˩˧$
举	ʨy˧˦$
乃	nᴇ˩˧$
久	ʨy˧˦$
么	iɔ˥˧$
义	ȵi˩˧$
之	ʦɿ˥˧$
乌	u˥˧$
乍	zo˩˧$
乎	ɦu˧˩$
乏	vᴀʔ˨$
乐	loʔ˨$
乒	pʰiŋ˥˧$
乓	pʰã˥˧$
乔	ʥiɔ˧˩$
乖	kuᴀ˥˧$
乘	zəŋ˧˩$
乙	iɪʔ˥$
九	ʨy˧˦$
乞	ʨʰiɪʔ˥$
也	ɦiᴀ˩˧$
习	ziɪʔ˨$
乡	ɕiã˥˧$
书	sʮ˥˧$
乩	ʨi˥˧$
买	mᴀ˩˧$
乱	lɤ˩˧$
乳	zʮ˩˧$
乾	ʥɪ˧˩$
亂	lɤ˩˧$
了	liɔ˩˧$
予	ɦy˧˩$
争	ʦã˥˧$
事	zɿ˩˧$
二	ȵi˩˧$
于	ɦy˧˩$
亏	kʰuɪ˥˧$
云	ɦiŋ˧˩$
互	ŋu˩˧$
五	u˧˦$
井	ʦiŋ˧˦$
亘	kəŋ˧˦$
亙	kəŋ˧˦$
亚	iᴀ˧˦$
些	sɪ˥˧$
亞	iᴀ˧˦$
亟	ʨiɪʔ˥$
亡	mɑ̃˧˩$
亢	kʰɑ̃˧˦$
交	kɔ˥˧$
亥	ɦᴇ˩˧$
亦	ɦiɪʔ˨$
产	ʦʰᴇ˧˦$
亨	hã˥˧$
亩	m˩˧$
享	ɕiã˧˦$
京	ʨiŋ˥˧$
亭	diŋ˧˩$
亮	liã˩˧$
亲	ʦʰiŋ˥˧$
亵	siɪʔ˥$
人	zəŋ˧˩$
亿	ɦi˩˧$
什	zəʔ˨$
仁	zəŋ˧˩$
仃	tiŋ˥˧$
仄	ʦəʔ˥$
仅	ʥiŋ˩˧$
仆	boʔ˨$
仇	zɤ˧˩$
今	ʨiŋ˥˧$
介	kᴀ˧˦$
仍	zəŋ˧˩$
从	ʦʰoŋ˥˧$
仑	ləŋ˧˩$
仓	ʦʰɑ̃˥˧$
仔	ʦɿ˧˦$
仕	zɿ˩˧$
他	tʰᴀ˥˧$
仗	ʦã˧˦$
付	fu˧˦$
仙	sɪ˥˧$
仞	zəŋ˩˧$
仟	ʦʰɪ˥˧$
代	dᴇ˩˧$
令	liŋ˩˧$
以	i˧˦$
仪	ȵi˧˩$
们	məŋ˧˩$
仰	ȵiã˩˧$
仲	zoŋ˩˧$
仵	u˧˦$
件	ʥɪ˩˧$
价	kᴀ˧˦$
任	zəŋ˩˧$
份	vəŋ˩˧$
仿	fɑ̃˧˦$
企	ʨʰi˧˦$
伉	kʰɑ̃˧˦$
伊	i˥˧$
伍	u˧˦$
伎	ʥi˩˧$
伏	bu˩˧$
伐	vᴀʔ˨$
休	ɕy˥˧$
众	ʦoŋ˧˦$
优	y˥˧$
伙	hu˧˦$
会	kuɪ˧˦$
伛	y˧˦$
伞	sø˧˦$
伟	ɦuɪ˩˧$
传	zɪ˧˩$
伤	sɑ̃˥˧$
伥	ʦʰã˥˧$
伦	ləŋ˧˩$
伪	ɦuɪ˩˧$
伫	zʮ˩˧$
伯	pᴀʔ˥$
估	ku˥˧$
伲	nɪ˩˧$
伴	bɪ˩˧$
伶	liŋ˧˩$
伸	səŋ˥˧$
伺	zɿ˩˧$
似	zɿ˩˧$
伽	gᴀ˧˩$
佃	dɪ˩˧$
但	dᴇ˩˧$
佇	zʮ˩˧$
位	ɦuɪ˩˧$
低	ti˥˧$
住	zʮ˩˧$
佐	ʦu˧˦$
佑	ɦy˩˧$
体	tʰi˧˦$
