㑥	ji˩˧$
㒼	mø˧˩$
㞢	ʦɿ˥˧$
㫰	lɑ̃˩˧$
㮰	bi˧˩$
㽹	fɛ˧˥$
㿭	ʦʰaʔ˥$
䄬	ji˧˩$
䊓	zɿ˩˧$
䥛	ʨiɪʔ˥$
䫲	hɛ˥˧$
䬵	gɛ˩˧$
䭁	ʦɿ˧˥$
一	iɪʔ˥$
丁	tin˥˧$
七	ʦʰiɪʔ˥$
万	mɛ˩˧$
丈	za˩˧$
三	sa˥˧$
上	zɑ̃˩˧$
下	ɕia˧˥$
不	pəʔ˥$
丐	kɛ˦$
丑	ʦʰɤ˧˥$
且	ʦʰia˥˧$
世	sɿ˧˥$
丘	ʨʰiɤ˥˧$
丙	pin˦$
丛	zoŋ˧˩$
东	toŋ˥˧$
丝	sɿ˥˧$
丞	zən˧˩$
两	liɛ̃˩˧$
严	ȵiɪ˧˩$
並	bin˩˧$
丧	sɑ̃˥˧$
个	gəʔ˨$
丫	ia˥˧$
中	ʦoŋ˧˥$
丰	foŋ˥˧$
临	lin˧˩$
丸	ɦø˧˩$
丹	tɛ˥˧$
为	vɛ˩˧$
主	ʦʮ˦$
丽	li˩˧$
举	ʨy˦$
乃	nɛ˦$
久	ʨiɤ˦$
么	iɔ˥˧$
义	ȵi˩˧$
之	ʦɿ˥˧$
乌	ʋu˥˧$
乍	zo˩˧$
乏	vaʔ˨$
乐	jioʔ˨$
乔	ʥiɔ˧˩$
乖	kua˥˧$
乘	zən˧˩$
乙	iɪʔ˥$
九	ʨiɤ˦$
乞	ʨʰiəʔ˥$
也	jia˩˧$
习	ziɪʔ˨$
乡	ɕiɛ̃˥˧$
书	sʮ˥˧$
买	ma˩˧$
乱	lø˩˧$
乳	zɿ˩˧$
亂	lø˩˧$
了	liɔ˩˧$
予	jy˧˩$
争	ʦɛ̃˥˧$
事	zɿ˩˧$
二	ȵi˩˧$
于	jy˧˩$
亏	kʰuɛ˥˧$
云	jin˧˩$
互	vu˩˧$
五	ŋ̩˩˧$
井	ʦin˦$
亚	ia˧˥$
亞	ia˧˥$
亡	vɑ̃˧˩$
交	kɔ˥˧$
亥	ɦɛ˩˧$
亦	jiɪʔ˨$
产	ʦʰɛ˧˥$
亨	hən˥˧$
亩	mɤ˩˧$
享	ɕiɛ̃˦$
京	ʨin˥˧$
亭	din˧˩$
亲	ʦʰin˥˧$
人	zən˧˩$
什	zəʔ˨$
仁	zən˧˩$
仄	ʦəʔ˥$
仅	ʥin˩˧$
仆	boʔ˨$
仇	zɤ˧˩$
今	kən˥˧$
介	ka˧˥$
仍	ȵiɪ˧˩$
从	zoŋ˧˩$
仑	lən˧˩$
仓	ʦʰɑ̃˥˧$
仔	ʦɿ˦$
仕	zɿ˩˧$
仗	ʦɛ̃˧˥$
付	fu˧˥$
仙	siɪ˥˧$
代	dɛ˩˧$
令	lin˩˧$
仪	ȵi˩˧$
仰	ȵiɛ̃˦$
仲	zoŋ˩˧$
仵	ʋu˦$
价	ka˧˥$
任	zən˩˧$
份	vən˩˧$
仿	fɑ̃˦$
伊	i˥˧$
伍	ŋ̩˩˧$
伎	ʥi˩˧$
伏	voʔ˨$
伐	vaʔ˨$
休	ɕiɤ˥˧$
众	ʦoŋ˧˥$
优	iɤ˥˧$
伙	fu˦$
会	kuɛ˦$
伞	sɛ˧˥$
伟	vɛ˧˩$
传	zø˧˩$
伤	sɑ̃˥˧$
伯	paʔ˥$
估	ku˦$
伴	bø˩˧$
伶	lin˧˩$
伸	sən˥˧$
伺	zɿ˩˧$
似	zɿ˩˧$
伽	ga˧˩$
佃	diɪ˩˧$
但	dɛ˩˧$
佈	pu˧˥$
位	vɛ˩˧$
低	ti˥˧$
住	zʮ˩˧$
佐	ʦu˦$
佑	iɤ˧˥$
体	tʰi˧˥$
何	vu˧˩$
余	jy˧˩$
佛	vəʔ˨$
作	ʦoʔ˥$
佝	hɤ˥˧$
佩	bɛ˩˧$
佬	lɔ˩˧$
佮	køʔ˥$
佳	ka˥˧$
使	sɿ˦$
侃	kʰø˧˥$
侄	zəʔ˨$
來	lɛ˧˩$
例	li˩˧$
侍	zɿ˩˧$
侏	ʦʮ˥˧$
侖	lən˧˩$
供	koŋ˥˧$
依	i˥˧$
侠	jiaʔ˨$
侧	ʦəʔ˥$
侪	zɛ˧˩$
侯	ɦɤ˧˩$
侵	ʦʰin˥˧$
便	bi˩˧$
促	ʦʰoʔ˥$
俄	ŋu˧˩$
俊	ʦin˧˥$
俎	ʦu˦$
俏	ʦʰiɔ˧˥$
俗	zoʔ˨$
俘	fu˥˧$
保	pɔ˦$
俞	jy˧˩$
俠	jiaʔ˨$
信	sin˧˥$
俦	dɔ˩˧$
俭	ʥiɪ˩˧$
修	siɤ˥˧$
俯	fu˦$
俱	ʥy˩˧$
俳	ba˧˩$
俸	ɦoŋ˩˧$
倉	ʦʰɑ̃˥˧$
個	ku˧˥$
倍	bɛ˩˧$
倒	tɔ˦$
倔	ʥiøʔ˨$
倘	tʰɑ̃˧˥$
候	ɦɤ˩˧$
借	ʦia˧˥$
倡	ʦʰɑ̃˧˥$
倦	ʥiø˩˧$
倨	ʨy˧˥$
倪	ȵi˧˩$
倭	ʋu˥˧$
倷	nɤ˩˧$
值	zəʔ˨$
倾	ʨʰin˧˥$
假	ka˧˥$
偉	vɛ˧˩$
偏	pʰiɪ˥˧$
偕	ʨia˥˧$
做	ʦu˧˥$
停	din˧˩$
健	ʥiɪ˧˩$
側	ʦəʔ˥$
偶	ŋɤ˩˧$
偷	tʰɤ˥˧$
偿	zɑ̃˧˩$
傀	kʰuɛ˧˥$
傅	fu˧˥$
傍	bɑ̃˧˩$
傑	ʥiɪʔ˨$
傘	sɛ˧˥$
備	bɛ˩˧$
储	zʮ˧˩$
催	ʦʰɛ˥˧$
傲	kʰuɛ˥˧$
傳	zø˧˩$
傷	sɑ̃˥˧$
傻	sa˦$
傾	ʨʰin˧˥$
僅	ʥin˩˧$
像	ziɛ̃˩˧$
僕	boʔ˨$
僖	ɕi˥˧$
僧	sən˥˧$
僵	ʨiɛ̃˥˧$
價	ka˧˥$
僻	pʰiɪʔ˥$
儀	ȵi˩˧$
儉	ʥiɪ˩˧$
儔	dɔ˩˧$
儕	zɛ˧˩$
償	zɑ̃˧˩$
優	iɤ˥˧$
儲	zʮ˧˩$
儿	ŋ̩˧˩$
允	in˦$
元	ȵiø˧˩$
兄	ɕioŋ˥˧$
充	ʦʰoŋ˥˧$
兆	zɔ˩˧$
先	siɪ˥˧$
光	kuɑ̃˥˧$
克	kʰəʔ˥$
兌	dɛ˩˧$
免	miɪ˩˧$
兑	dɛ˩˧$
兒	ŋ̩˧˩$
兔	tʰu˧˥$
党	tɑ̃˦$
兜	tɤ˥˧$
入	zəʔ˨$
內	nɛ˩˧$
全	ziɪ˧˩$
兩	liɛ̃˩˧$
八	paʔ˥$
公	koŋ˥˧$
兮	i˥˧$
兰	lɛ˧˩$
共	goŋ˩˧$
关	kuɛ˥˧$
兴	ɕin˧˥$
兵	pin˥˧$
其	ʥi˧˩$
具	ʥy˩˧$
典	tiɪ˦$
兹	ʦɿ˥˧$
养	jiɛ̃˩˧$
兼	ʨiɪ˥˧$
兽	sɤ˧˥$
冀	ʨi˧˥$
内	nɛ˩˧$
冈	kɑ̃˥˧$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦɛ˧˥$
写	sia˦$
军	ʨin˥˧$
农	loŋ˧˩$
冠	kø˧˥$
冤	iø˥˧$
冥	min˦$
冬	toŋ˥˧$
冯	ɦoŋ˧˩$
冰	pin˥˧$
冲	ʦʰoŋ˧˥$
况	fɑ̃˧˥$
冶	iɪ˧˥$
冷	lɛ̃˩˧$
冻	toŋ˧˥$
净	zin˩˧$
凄	ʦʰi˥˧$
准	ʦən˦$
凉	liɛ̃˧˩$
凌	lin˧˩$
凍	toŋ˧˥$
减	kɛ˦$
凑	ʦʰɤ˧˥$
凝	ȵin˧˩$
几	ʨi˦$
凡	vɛ˧˩$
凤	ɦoŋ˩˧$
凭	bin˧˩$
凯	kʰɛ˧˥$
凱	kʰɛ˧˥$
凳	tən˧˥$
凶	ɕioŋ˥˧$
凹	ɔ˥˧$
出	bø˧˩$
击	ʨiɪʔ˥$
函	ɦø˧˩$
凿	zoʔ˨$
刀	tɔ˥˧$
刁	tiɔ˥˧$
刃	zən˩˧$
分	fən˥˧$
切	ʦʰiɪʔ˥$
刊	kʰø˧˥$
刑	jin˧˩$
划	ɦuaʔ˨$
列	liɪʔ˨$
刘	lɤ˧˩$
则	ʦəʔ˥$
刚	kɑ̃˥˧$
创	ʦʰɑ̃˧˥$
初	ʦʰu˥˧$
删	sɛ˥˧$
判	pʰø˧˥$
別	biɪʔ˨$
刨	bɔ˩˧$
利	li˩˧$
刪	sɛ˥˧$
别	biɪʔ˨$
刮	kuaʔ˥$
到	tɔ˧˥$
刳	kʰu˥˧$
制	ʦɿ˧˥$
刷	søʔ˥$
券	ʨʰiø˧˥$
刺	ʦʰɿ˧˥$
刻	kʰəʔ˥$
刽	kʰuɛ˧˥$
剃	tʰi˧˥$
則	ʦəʔ˥$
削	siaʔ˥$
剑	ʨiɪ˧˥$
剔	tʰiɪʔ˥$
剛	kɑ̃˥˧$
剝	poʔ˥$
剥	poʔ˥$
剧	ʥiɪʔ˨$
剩	zən˩˧$
剪	ʦiɪ˦$
割	kəʔ˥$
創	ʦʰɑ̃˧˥$
劃	ɦo˧˩$
劄	ʦaʔ˥$
劇	ʥiɪʔ˨$
劈	pʰiɪʔ˥$
劉	lɤ˧˩$
劊	kʰuɛ˧˥$
劍	ʨiɪ˧˥$
劗	ʦɛ˥˧$
劝	ʨʰiø˧˥$
办	bɛ˩˧$
功	koŋ˥˧$
加	ʨia˥˧$
务	vu˩˧$
劣	liɪʔ˨$
动	doŋ˩˧$
助	zu˩˧$
努	nu˦$
劫	ʨiɪʔ˥$
劬	ʥy˧˩$
励	li˩˧$
劲	ʥin˩˧$
劳	lɔ˧˩$
势	sɿ˧˥$
勁	ʥin˩˧$
勃	bəʔ˨$
勇	ioŋ˦$
勉	miɪ˩˧$
勋	ɕin˥˧$
勒	ləʔ˨$
動	doŋ˩˧$
務	vu˩˧$
勞	lɔ˧˩$
募	mu˩˧$
勢	sɿ˧˥$
勤	ʥin˧˩$
勩	i˧˥$
勳	ɕin˥˧$
勵	li˩˧$
勸	ʨʰiø˧˥$
勹	pɔ˥˧$
勻	jin˧˩$
勾	kɤ˥˧$
匀	jin˧˩$
包	pɔ˥˧$
匆	ʦʰoŋ˥˧$
匈	ɕioŋ˥˧$
匏	bɔ˧˩$
匕	pi˦$
化	ho˧˥$
匙	zɿ˧˩$
匠	ziɛ̃˩˧$
