㪕	ʨʰiɑʔ˥$
㪗	tʰøʏ˧˧˦$
㿭	ʦʰɑʔ˥$
䂻	ʣᴇŋ˨˨˧$
䝼	ziŋ˨˨˧$
䥛	ʨiɑʔ˥$
一	iɪʔ˥$
丁	tiŋ˦˧˧$
七	ʦʰiɪʔ˥$
万	væ̃˧˩$
丈	ʥiæ̃˧˩$
三	sæ̃˦˧˧$
上	ʥiæ̃˧˩$
下	ɦo˧˩$
不	pəʔ˥$
与	y˧˧˦$
丐	kæ˥˩$
丑	ʨʰiøʏ˧˧˦$
专	ʨyɯ̃˦˧˧$
且	ʦʰiæ˧˧˦$
丕	pʰe˦˧˧$
世	sɿ˥˩$
丘	ʨʰiøʏ˦˧˧$
丙	piŋ˧˧˦$
业	ȵiɪʔ˧˦$
丛	zoŋ˨˨˧$
东	toŋ˦˧˧$
丝	sɿ˦˧˧$
丞	ʥiᴇŋ˨˨˧$
丟	tøʏ˦˧˧$
丢	tøʏ˦˧˧$
两	liɪ̃˧˧˦$
严	ȵiɪ̃˨˨˧$
並	biŋ˧˩$
丧	sɑŋ˦˧˧$
个	gʌɤ˨˨˧$
丫	o˦˧˧$
中	ʨioŋ˦˧˧$
丰	foŋ˦˧˧$
串	ʨʰyɯ̃˦˧˧$
临	liŋ˨˨˧$
丸	ɦuɯ̃˨˨˧$
丹	tæ̃˦˧˧$
为	ɦue˨˨˧$
主	ʨy˧˧˦$
丽	li˧˩$
举	ʨy˧˧˦$
乃	næ˧˧˦$
久	ʨiøʏ˧˧˦$
义	i˥˩$
之	ʦɿ˦˧˧$
乌	u˦˧˧$
乍	ʦo˥˩$
乎	ɦu˨˨˧$
乏	vɑʔ˧˦$
乐	lɔʔ˧˦$
乔	ʥiɒ˨˨˧$
乖	kuæ˦˧˧$
乘	ʥiᴇŋ˨˨˧$
乙	iɪʔ˥$
九	ʨiøʏ˧˧˦$
乞	ʨʰiɪʔ˥$
也	iæ˧˧˦$
习	ziɪʔ˧˦$
乡	ɕiɪ̃˦˧˧$
书	ɕy˦˧˧$
买	mæ˧˧˦$
乱	lɯ̃˧˩$
乳	ɕy˧˧˦$
乾	ʥiɪ̃˨˨˧$
亂	lɯ̃˧˩$
了	liɒ˧˧˦$
争	ʦᴇŋ˦˧˧$
事	zɿ˧˩$
二	ȵi˧˩$
于	ɦy˨˨˧$
亏	kʰue˦˧˧$
云	ɦyŋ˨˨˧$
互	ɦu˧˩$
五	u˧˧˦$
井	ʦiŋ˧˧˦$
亚	iɑ˥˩$
些	siæ˦˧˧$
亞	iɑ˥˩$
亡	vɑŋ˨˨˧$
交	kɒ˦˧˧$
亥	ɦæ˧˩$
亦	ɦiɪʔ˧˦$
产	ʦʰæ̃˧˧˦$
亨	hɑŋ˦˧˧$
亩	mʌɤ˧˧˦$
享	ɕiɪ̃˧˧˦$
京	ʨiŋ˦˧˧$
亭	diŋ˨˨˧$
亮	liɪ̃˧˩$
亲	ʦiŋ˥˩$
人	ȵiŋ˨˨˧$
亿	iɪʔ˥$
什	ʑiɘʔ˧˦$
仁	ʑiᴇŋ˨˨˧$
仅	ʥiŋ˧˩$
仆	pʰɔʔ˥$
仇	ʥiøʏ˨˨˧$
今	ʨiŋ˦˧˧$
介	kæ˥˩$
仍	ʑiᴇŋ˨˨˧$
从	zoŋ˨˨˧$
仑	lᴇŋ˨˨˧$
仓	ʦʰɑŋ˦˧˧$
仕	zɿ˧˩$
他	tʰɑ˦˧˧$
仗	ʥiæ̃˧˩$
付	fu˥˩$
仙	siɪ̃˧˧˦$
代	dæ˧˩$
令	liŋ˧˩$
以	i˧˧˦$
仪	ȵi˨˨˧$
仰	ȵiɪ̃˧˧˦$
仲	ʥioŋ˧˩$
件	ʥiɪ̃˧˩$
价	ko˥˩$
任	ȵiŋ˨˨˧$
份	vᴇŋ˧˩$
仿	fɑŋ˧˧˦$
企	ʨʰi˧˧˦$
伊	i˦˧˧$
伍	u˧˧˦$
伏	vɔʔ˧˦$
伐	vɑʔ˧˦$
休	ɕiøʏ˦˧˧$
众	ʨioŋ˥˩$
优	iøʏ˦˧˧$
伙	hʌɤ˧˧˦$
会	kue˥˩$
伞	sæ̃˧˧˦$
伟	ue˧˧˦$
传	ʥyɯ̃˨˨˧$
伤	ɕiæ̃˦˧˧$
伦	lᴇŋ˨˨˧$
伪	ue˧˧˦$
伯	pɔʔ˥$
估	ku˧˧˦$
伴	bɯ̃˧˩$
伶	liŋ˨˨˧$
伸	ɕiᴇŋ˦˧˧$
伺	sɿ˥˩$
似	zɿ˧˩$
佃	diɪ̃˧˩$
但	dæ̃˧˩$
佈	pu˥˩$
位	ɦue˧˩$
低	ti˦˧˧$
住	ʥy˧˩$
佐	ʦʌɤ˧˧˦$
佑	iøʏ˥˩$
体	tʰi˧˧˦$
佔	ʨyɯ̃˥˩$
何	ɦʌɤ˨˨˧$
佘	ʑiɑ˨˨˧$
余	ɦy˨˨˧$
佛	vəʔ˧˦$
作	ʦɔʔ˥$
佞	ȵiŋ˧˩$
你	ȵi˧˧˦$
佩	be˧˩$
佳	kæ˦˧˧$
使	sɿ˧˧˦$
侄	ʥiɘʔ˧˦$
來	læ˨˨˧$
侈	ʦʰɿ˧˧˦$
例	li˧˩$
侍	zɿ˧˩$
供	koŋ˦˧˧$
依	i˦˧˧$
侥	ʨiɒ˧˧˦$
侦	ʨiᴇŋ˦˧˧$
侧	ʦəʔ˥$
侨	ʥiɒ˨˨˧$
侬	noŋ˨˨˧$
侮	fu˧˧˦$
侯	ɦøʏ˨˨˧$
侵	ʦʰiŋ˦˧˧$
便	biɪ̃˨˨˧$
係	ɦi˧˩$
促	ʦʰɔʔ˥$
俄	ŋʌɤ˨˨˧$
俊	ʦiŋ˥˩$
俏	ʦʰiɒ˥˩$
俗	zɔʔ˧˦$
俘	fu˧˧˦$
保	pɒ˧˧˦$
俟	zɿ˧˩$
信	siŋ˥˩$
俭	ʥiɪ̃˧˩$
修	siøʏ˦˧˧$
俯	fu˧˧˦$
俱	ʨy˥˩$
俸	voŋ˧˩$
俾	pi˥˩$
倂	piŋ˥˩$
倉	ʦʰɑŋ˦˧˧$
個	gʌɤ˨˨˧$
倍	bæ˧˩$
倒	tɒ˧˧˦$
倔	ʥyʊʔ˧˦$
倘	tʰɑŋ˧˧˦$
候	ɦøʏ˨˨˧$
倚	i˧˧˦$
借	ʦiɑ˥˩$
倡	ʨʰiæ̃˥˩$
倣	fɑŋ˧˧˦$
倦	ʥyɯ̃˧˩$
倪	ȵi˨˨˧$
倫	lᴇŋ˨˨˧$
倭	ʌɤ˦˧˧$
债	ʦæ˥˩$
值	ʥiɘʔ˧˦$
倾	ʨʰiŋ˦˧˧$
假	ko˧˧˦$
偉	ue˧˧˦$
偏	pʰiɪ̃˦˧˧$
做	ʦʌɤ˥˩$
停	diŋ˨˨˧$
健	ʥiɪ̃˧˩$
側	ʦəʔ˥$
偵	ʨiᴇŋ˦˧˧$
偶	ŋøʏ˧˧˦$
偷	tʰøʏ˦˧˧$
偽	ue˧˧˦$
偿	ʑiæ̃˨˨˧$
傀	kue˥˩$
傅	fu˥˩$
傍	bɑŋ˧˩$
傑	ʥiɪʔ˧˦$
傘	sæ̃˧˧˦$
備	be˧˩$
傢	ʨiɑ˦˧˧$
储	ʥy˨˨˧$
催	ʦʰe˦˧˧$
傲	ŋɒ˧˩$
傳	ʥyɯ̃˨˨˧$
債	ʦæ˥˩$
傷	ɕiæ̃˦˧˧$
傻	sɑ˧˧˦$
傾	ʨʰiŋ˦˧˧$
僅	ʥiŋ˧˩$
像	ziɪ̃˧˩$
僑	ʥiɒ˨˨˧$
僕	bu˨˨˧$
僥	ʨiɒ˧˧˦$
僧	sᴇŋ˦˧˧$
僵	ʨiɪ̃˦˧˧$
價	ko˥˩$
僻	pʰiɪʔ˥$
儀	ȵi˨˨˧$
儂	noŋ˨˨˧$
億	iɪʔ˥$
儉	ʥiɪ̃˧˩$
儒	ʑy˨˨˧$
償	ʑiæ̃˨˨˧$
儡	le˧˧˦$
優	iøʏ˦˧˧$
儲	ʥy˨˨˧$
儿	ɦɚ˨˨˧$
允	ioŋ˧˧˦$
元	ɦyɯ̃˨˨˧$
兄	ɕioŋ˦˧˧$
充	ʨʰioŋ˦˧˧$
兆	ʥiɒ˧˩$
兇	ɕioŋ˦˧˧$
先	siɪ̃˦˧˧$
光	kuɑŋ˦˧˧$
克	kʰəʔ˥$
兌	de˧˩$
免	miɪ̃˧˧˦$
兑	de˧˩$
兒	ɦɚ˨˨˧$
兔	tʰu˥˩$
兖	iɪ̃˧˧˦$
兗	iɪ̃˧˧˦$
党	tɑŋ˧˧˦$
兜	tøʏ˦˧˧$
入	ʑyəʔ˧˦$
內	ne˧˩$
全	ziɪ̃˨˨˧$
兩	liɪ̃˧˧˦$
八	pɑʔ˥$
公	koŋ˦˧˧$
六	lɔʔ˧˦$
兮	ɦi˨˨˧$
兰	læ̃˨˨˧$
共	goŋ˧˩$
关	kuæ̃˦˧˧$
兴	ɕiŋ˦˧˧$
兵	piŋ˦˧˧$
其	ʥi˨˨˧$
具	ʥy˧˩$
典	tiɪ̃˧˧˦$
兹	ʦɿ˦˧˧$
养	iɪ̃˧˧˦$
兼	ʨiɪ̃˦˧˧$
兽	ɕiøʏ˥˩$
冀	ʨi˥˩$
内	ne˧˩$
冈	kɑŋ˦˧˧$
冉	ɕyɯ̃˧˧˦$
冊	ʦʰəʔ˥$
册	ʦʰəʔ˥$
再	ʦæ˥˩$
冒	mɒ˧˩$
冗	ȵioŋ˨˧˧$
写	siɑ˧˧˦$
军	ʨyŋ˦˧˧$
农	noŋ˨˨˧$
冠	kɯ̃˦˧˧$
冢	ʨioŋ˧˧˦$
冤	yɯ̃˦˧˧$
冬	toŋ˦˧˧$
冯	voŋ˨˨˧$
冰	piŋ˦˧˧$
冲	ʨʰioŋ˦˧˧$
决	ʨyʊʔ˥$
况	kuɑŋ˥˩$
冷	lᴇŋ˧˧˦$
冻	toŋ˥˩$
净	ziŋ˧˩$
准	ʨyᴇŋ˧˧˦$
凉	liɪ̃˨˨˧$
凌	liŋ˨˨˧$
凍	toŋ˥˩$
减	kæ̃˧˧˦$
凑	ʦʰʌɤ˥˩$
凖	ʨyᴇŋ˧˧˦$
凝	ȵiŋ˨˨˧$
几	ʨi˧˧˦$
凡	væ̃˨˨˧$
凤	voŋ˧˩$
凭	biŋ˨˨˧$
凯	kʰæ˧˧˦$
凱	kʰæ˧˧˦$
凳	tᴇŋ˥˩$
凶	ɕioŋ˦˧˧$
出	ʨyəʔ˥$
击	ʨiɪʔ˥$
函	ɦɯ̃˨˨˧$
凿	zɔʔ˧˦$
刀	tɒ˦˧˧$
刁	tiɒ˦˧˧$
刃	iᴇŋ˧˧˦$
分	fᴇŋ˦˧˧$
切	ʦʰiɪʔ˥$
刈	ȵi˧˩$
刊	kʰɯ̃˦˧˧$
刎	uᴇŋ˧˧˦$
刑	ɦiŋ˨˨˧$
划	ɦuɑʔ˧˦$
列	liɪʔ˧˦$
刘	løʏ˨˨˧$
则	ʦəʔ˥$
刚	kɑŋ˦˧˧$
创	ʦʰyɑŋ˥˩$
初	ʦʰʌɤ˦˧˧$
删	sæ̃˦˧˧$
判	pʰɯ̃˥˩$
別	biɪʔ˧˦$
刨	bɒ˨˨˧$
利	li˧˩$
刪	sæ̃˦˧˧$
别	biɪʔ˧˦$
刮	kuɑʔ˥$
到	tɒ˥˩$
制	ʦɿ˥˩$
刷	ɕyɑʔ˥$
券	ʨʰyɯ̃˥˩$
刺	ʦʰɿ˥˩$
刻	kʰəʔ˥$
刽	kue˥˩$
剁	tʌɤ˥˩$
剂	zi˧˩$
剃	tʰi˥˩$
則	ʦəʔ˥$
削	siɑʔ˥$
前	ziɪ̃˨˨˧$
剑	ʨiɪ̃˥˩$
剔	tʰiɪʔ˥$
剖	pʰe˦˧˧$
剛	kɑŋ˦˧˧$
剜	ɯ̃˦˧˧$
剝	pɔʔ˥$
剥	pɔʔ˥$
