AA制	ei˥ ei˥ ʦɐi˧
A貨	ei˥ fɔː˧
A货	ei˥ fɔː˧
B	piː˥
BB	piː˥ piː˥
BB仔	piː˨˩ piː˥ ʦɐi˧˥
BB女	piː˨˩ piː˥ nɵy˧˥
BB机	piː˥ piː˥ kei˥
BB機	piː˥ piː˥ kei˥
BB車	piː˨˩ piː˥ tsʰɛː˥
BB车	piː˨˩ piː˥ ʦʰɛː˥
CIB	siː˥ ɐi˥ piː˥
Eng lit	jɪŋ˥ liːt̚˥
E仔	jiː˥ tsɐi˧˥
IP	ɐi˥ piː˥
K仔	kʰei˥ ʦɐi˧˥
K金	kʰei˥ kɐm˥
M巾	ɛːm˥ kɐn˥
O.T.	ou˥ tʰiː˥
OK	ɔː˥ kʰei˥
OK难	ou˥ kʰei˥ naːn˨˩
OK難	ou˥ kʰei˥ naːn˨˩
O咀	ou˥ ʦɵy˧˥
O嘴	ou˥ ʦɵy˧˥
O晒咀	ou˥ saːi˧ ʦɵy˧˥
O晒嘴	ou˥ saːi˧ ʦɵy˧˥
O記	ou˥ kei˧
O记	ou˥ kei˧
PC	piː˥ siː˥
PTU	piː˥ tʰiː˥ iːu˥
T卹	tʰiː˥ sɵt̚˥
T恤	tʰiː˥ sɵt̚˥
T裇	tʰiː˥ sɵt̚˥
X光	ɪk̚˥ siː˨˩ kʷɔːŋ˥
account	aː˨ kʰaːŋ˥
bio	pɐi˨ ɔː˥
book	pʊk̚˥
book位	pʊk̚˥ wɐi˧˥
book唔到位	pʊk̚˥ m̩˨˩ tou˧˥ wɐi˧˥
book机票	pʊk̚˥ kei˥ pʰiːu˧
book機票	pʊk̚˥ kei˥ pʰiːu˧
book酒店	pʊk̚˥ ʦɐu˧˥ tiːm˧
caim	kʰɛːm˥
caim保险	kʰɛːm˥ pou˧˥ hiːm˧˥
caim保險	kʰɛːm˥ pou˧˥ hiːm˧˥
caim稅	kʰɛːm˥ sɵy˧
caim税	kʰɛːm˥ sɵy˧
call	kʰɔː˥
call人	kʰɔː˥ jɐn˨˩
call台	kʰɔː˥ tʰɔːi˨˩
call机	kʰɔː˥ kei˥
call机肉	kʰɔː˥ kei˥ jʊk̚˨
call機	kʰɔː˥ kei˥
call機肉	kʰɔː˥ kei˥ jʊk̚˨
call白車	kʰɔː˥ paːk̚˨ tsʰɛː˥
call白车	kʰɔː˥ paːk̚˨ ʦʰɛː˥
call車	kʰɔː˥ tsʰɛː˥
call车	kʰɔː˥ ʦʰɛː˥
cancer	kʰɛːn˥ saː˧˥
case	kʰei˥ siː˧˥
cash	kʰɛː˥ syː˨˩
cert	sɵt̚˥
cheap	ʦʰiːp̚˥
cheap嘢	ʦʰiːp̚˥ jɛː˩˧
cheap精	ʦʰiːp̚˥ ʦɪŋ˥
check	ʦʰɛːk̚˥
check吓	ʦʰɛːk̚˥ haː˩˧
chem	kʰɛːm˥
claim	kʰɛːm˥
claim保险	kʰɛːm˥ pou˧˥ hiːm˧˥
claim保險	kʰɛːm˥ pou˧˥ hiːm˧˥
claim番	kʰɛːm˥ faːn˥
claim稅	kʰɛːm˥ sɵy˧
claim税	kʰɛːm˥ sɵy˧
claim翻	kʰɛːm˥ faːn˥
claim返	kʰɛːm˥ faːn˥
click	kʰɪk̚˥
click入去	kʰɪk̚˥ jɐp̚˨ hɵy˧
compute	kʰɐm˨ pʰiːu˥
con	kʰɔːn˥
cool	kʰuː˥
cut	kʰɐt̚˥
cute	kʰiːu˥
detail	tiː˥ tʰɛːu˨˩
econ	jiː˨ kʰɔːn˥
encore	ɛːn˥ kʰɔː˥
facial	fei˥ sou˨˩
fans	fɛːn˥ siː˧˥
fax	fɛːt̚˥ siː˧˥
feel	fiːu˥
fee士	fiː˥ siː˧˥
fell	fiːu˥
fing	fɪŋ˨
fing头	fɪŋ˨ tʰɐu˨˩
fing头丸	fɪŋ˨ tʰɐu˨˩ jyːn˧˥
fing頭	fɪŋ˨ tʰɐu˨˩
fing頭丸	fɪŋ˨ tʰɐu˨˩ jyːn˧˥
fit	fiːt̚˥
foul	fɐu˥
foul出局	fɐu˥ ʦʰɵt̚˥ kʊk̚˨
friend	fɛːn˥
friend过打band	fɛːn˥ kʷɔː˧ taː˧˥ pɛːn˥
friend過打band	fɛːn˥ kʷɔː˧ taː˧˥ pɛːn˥
gag	kɛːk̚˥
geogra	tsɔːk̚˥ kaː˧˥
hae	hɛː˧
hae吓	hɛː˧ haː˩˧
hea	hɛː˧
hea吓	hɛː˧ haː˩˧
high	haːi˥
iacket	ʦɛːk̚˥ kʰɛːk̚˨
jacket	tsɛːk̚˥ kʰɛːk̚˨
keep	kʰiːp̚˥
key key卡卡	kʰiː˥ kʰiː˥ kʰaː˥ kʰaː˥
key卡	kʰiː˥ kʰaː˥
key卡咁笑	kʰiː˥ kʰaː˥ kɐm˧ siːu˧
label	lei˥ pou˧˥
last	laː˥ siː˨
lift	liːp̚˥
lift口	liːp̚˥ hɐu˧˥
lift槽	liːp̚˥ ʦʰou˨˩
lift門	liːp̚˥ muːn˨˩
lift门	liːp̚˥ muːn˨˩
man	mɛːn˥
mean	miːn˥
miss	miː˥ siː˨˩
out	ɐu˥
pair	pʰɛː˥
paper	pʰei˥ pʰaː˨˩
part time	pʰaːk̚˥ tʰaːi˥
part-time	pʰaːk̚˥ tʰaːi˥
party	paːt̚˥ tʰiː˨˩
pass	pʰaː˥ siː˨
passport	pʰaː˥ siː˨˩ pɔːt̚˥
pat pat	pʰɛːt̚˥ pʰɛːt̚˥
pizza	piː˥ saː˨˩
pose	pʰou˥ siː˧˥
powder粉	pʰaːu˥ taː˧˥ fɐn˧˥
pro	pʰou˨
punch	pɐn˥ tsiː˨
quail	kʰɔː˥ liː˧˥
quali	kʰɔː˥ liː˧˥
sales	sɛːu˥ siː˧˥
secu	sɛːk̚˨ kʰiːu˥
sense	sɛːn˥ siː˧˥
set	sɛːt̚˥
set好	sɛːt̚˥ hou˧˥
sharp	saːp̚˥
short	sɔːt̚˥
short short哋	sɔːt̚˥ sɔːt̚˥ tei˧˥
sink盆	sɪŋ˥ pʰuːn˨˩
sorry	sɔː˥ liː˨˩
sorry啰	sɔː˥ liː˨˩ lɔː˥
sorry囉	sɔː˥ liː˨˩ lɔː˥
talk	tʰɔːk̚˥
tissue	tʰiː˥ suː˨˩
title	tʰaːi˥ tʰou˨˩
un	ɐn˥
van	wɛːn˥
van仔	wɛːŋ˥ ʦɐi˧˥
we we wet wet	wiː˥ wiː˥ wɛːt̚˥ wɛːt̚˥
we we𠿭𠿭	wiː˥ wiː˥ wɛːt̚˥ wɛːt̚˥
wet	wɛːt̚˥
wet场	wɛːt̚˥ tsʰœːŋ˨˩
wet場	wɛːt̚˥ tsʰœːŋ˨˩
wet妹	wɛːt̚˥ muːi˥
㐀	jɐu˥
㐁	tʰiːm˧˥
㐅	ŋ˩˧
㐆	ʦaːn˧˥
㐌	ʦyː˨˩
㐖	ʦiːp̚˨
㐜	ʦʰaːu˨˩
㐡	nɔː˨
㐤	kʰaːu˨˩
㐨	ʦɵy˨
㐩	ʦɪŋ˨˩
㐫	kuːn˧
㐬	lɐu˨˩
㐭	lɐm˩˧
㐮	sœːŋ˥
㐯	jʊŋ˨˩
㐰	sɵn˧
㐱	ʦʰaː˩˧
㐲	taːi˨
㐳	ŋaːt̚˨
㐴	pʰaːn˥
㐷	maː˨
㐸	kiːm˥
㐹	haːi˨˩
㐺	ʦʊŋ˧
㐻	fuː˥
㐼	ʦʰɪŋ˧˥
㐽	fʊŋ˥
㑁	ʦyːt̚˧
㑂	fɔːŋ˧˥
㑃	ɐu˧˥
㑄	mou˩˧
㑅	ʦɔːk̚˧
㑇	ʦaːu˧
㑈	tʊŋ˥
㑉	ʦʰʊk̚˥
㑊	ʦɪk̚˨
㑋	kʰʊŋ˨˩
㑌	hɔːŋ˥
㑍	lɵy˩˧
㑎	nou˩˧
㑏	ʦʰyː˩˧
㑐	sʊk̚˥
㑔	sɵy˥
㑗	saːn˥
㑘	kaːi˧
㑙	tiːp̚˨
㑚	naː˨˩
㑛	ʦʰʊk̚˥
㑜	ʦaːi˨
㑝	lʊŋ˨
㑞	ʦɪŋ˨
㑟	mɐŋ˥
㑣	lɐm˧˥
㑤	miːu˨˩
㑥	ʦiː˨
㑦	lɵy˨
㑧	kʷɐi˧
㑨	ʦyː˩˧
㑩	lɔː˨˩
㑪	ʦʰaːi˨˩
㑯	sɵy˥
㑰	fuːi˨˩
㑱	nɐu˨˩
㑴	ʦʰaːm˥
㑵	ʦɐt̚˨
㑷	tʰaːi˧
㑸	ʦiːu˨˩
㑹	kʷɐt̚˧
㑺	ʦɵy˨
㑻	maː˨
㑼	lœːk̚˨
㑽	tʰɔːŋ˨˩
㑾	ʦiːu˨˩
㑿	ʦʰœːk̚˧
㒀	ʦʰiːm˨˩
㒁	sou˧
㒂	ʦœːk̚˨
㒃	ʦiː˨
㒄	ŋɐm˨˩
㒅	kʰɐi˧˥
㒆	kʰɐp̚˥
㒇	ŋ˩˧
㒈	hɔːn˨
㒉	tʰɔːŋ˧˥
㒊	saːp̚˥
㒋	siː˥
㒌	kʰɪŋ˨˩
㒍	lɵy˩˧
㒎	sɐt̚˧
㒑	hʊŋ˧˥
㒒	pʊk̚˨
㒓	tʰaːt̚˧
