㒼	mũ˨˩˧
㒼丝弥缝	mũ˨˩˧ sɿ˥˧ mi˨˩˧ voŋ˨˩˧
㒼絲彌縫	mũ˨˩˧ sɿ˥˧ mi˨˩˧ voŋ˨˩˧
㒼裆裤	mũ˨˩˧ tɔ̃˥˧ kʰu˦˦
㒼襠褲	mũ˨˩˧ tɔ̃˥˧ kʰu˦˦
㔂	ləŋ˨˩˧
㕐	ɕia˧˥
㖃㖃	ɦœʏ˨˩˧ ɦœʏ˨˩˧
㖦㖦	toŋ˧˥ toŋ˧˥
㜅	ɕyəʔ˥
㜅头	ɕyəʔ˥ dœʏ˨˦
㜅頭	ɕyəʔ˥ dœʏ˨˦
㜺	ʦɛ˦˦
㢊	a˧˥
㧕	lʏ˨˩˧
㧦	ɕy˦˦
㨆	ləŋ˨˩˧
㨖	ʦʮ˦˦
㨨	ʥiʏ˨˦
㩟	za˨˩˧
㪗	tʰœʏ˧˥
㪝槌	li˨˩˧ ʣʮ˨˩˧
㪬	ʣoʔ˩˨
㪬㪬煞煞	ʣoʔ˩˨ ʣoʔ˩˨ sɐʔ˥ sɐʔ˥
㪬落羹	ʣoʔ˩˨ loʔ˩˨ kã˥˧
㪬裏㪬煞	ʣoʔ˩˨ li˨˩˧ ʣoʔ˩˨ sɐʔ˥
㪬里㪬煞	ʣoʔ˩˨ li˨˩˧ ʣoʔ˩˨ sɐʔ˥
㫰	lɔ̃˨˩˧
㫰丫叉	lɔ̃˨˩˧ o˥˧ ʦʰo˥˧
㫰竿	lɔ̃˨˩˧ ki˥˧
㫰花	lɔ̃˨˩˧ huo˦˦
㫰衣墩	lɔ̃˨˩˧ i˧˥ təŋ˥˧
㫰霉	lɔ̃˨˩˧ mɐɪ˨˦
㫰黴	lɔ̃˨˩˧ mɐɪ˨˦
㲀	ʨiŋ˥˧
㲀头	ʨiŋ˥˧ dœʏ˨˦
㲀頭	ʨiŋ˥˧ dœʏ˨˦
㶒	tʰɐɪ˦˦
㷟	tʰɐɪ˥˧
㹙	ã˧˥
㽘底	gɔ̃˨˦ ti˧˥
㽘鍁	gɔ̃˨˦ ɕi˥˧
㽘锨	gɔ̃˨˦ ɕi˥˧
㽹	fɛ˦˦
㽺	ɕiɪʔ˥
㽺㑈㑈	ɕiɪʔ˥ toŋ˥˧ toŋ˥˧
㽺东东	ɕiɪʔ˥ toŋ˥˧ toŋ˥˧
㽺倲倲	ɕiɪʔ˥ toŋ˥˧ toŋ˥˧
㽺東東	ɕiɪʔ˥ toŋ˥˧ toŋ˥˧
㾸𤶁	kɐʔ˥ lɔ˨˩˧
䀣	biɪʔ˩˨
䀣眼火	biɪʔ˩˨ ŋɛ˨˩˧ həu˧˥
䀨瞎	kuɐʔ˥ hɐʔ˥
䁖	ʔlœʏ˥˧
䁖眼	ʔlœʏ˥˧ ŋɛ˨˩˧
䂻	ʣã˨˩˧
䇫箕	ʨi˥˧ ʨi˥˧
䉭	liɪʔ˩˨
䉭子	liɪʔ˩˨ ʦɿ˧˥
䌥	iŋ˧˥
䌥被針	iŋ˧˥ bi˨˩˧ ʨiŋ˥˧
䏘	pʰiɪʔ˥
䏘浆水	pʰiɪʔ˥ ʨiã˥˧ sʮ˧˥
䏘漿水	pʰiɪʔ˥ ʨiã˥˧ sʮ˧˥
䗫𧉹	mo˨˦ ʦɐʔ˥
䞁	i˦˦
䞒紅	doŋ˨˩˧ ɦoŋ˨˦
䞒红	doŋ˨˩˧ ɦoŋ˨˦
䟕	ʦʰo˥˧
䟕洪洞	ʦʰo˥˧ ɦoŋ˨˦ doŋ˨˩˧
䠷头王	tʰio˦˦ dœʏ˨˦ ɦuɔ̃˨˦
䠷頭王	tʰio˦˦ dœʏ˨˦ ɦuɔ̃˨˦
䢚	kã˦˦
䥛子刀	ʨiɪʔ˥ ʦɿ˧˥ tɔ˧˥
䩍白	lio˨˩˧ bɐʔ˩˨
䩩	y˧˥
䪆	tʰi˦˦
䪆洁	tʰi˦˦ ʨiɪʔ˥
䪆潔	tʰi˦˦ ʨiɪʔ˥
䭁	ʦoʔ˥
䶕	bo˨˩˧
䶕牙	bo˨˩˧ ŋo˨˦
一世为人	iɪʔ˥ ɕi˦˦ ɦuɐɪ˨˩˧ ȵiŋ˨˦
一世爲人	iɪʔ˥ ɕi˦˦ ɦuɐɪ˨˩˧ ȵiŋ˨˦
一五一十	iɪʔ˥ ŋ̩˨˩˧ iɪʔ˥ zʮœʔ˩˨
一人	iɪʔ˥ ȵiŋ˨˦
一人一撩	iɪʔ˥ ȵiŋ˨˦ iɪʔ˥ lio˨˦
一來一去	iɪʔ˥ le˨˦ iɪʔ˥ ʨʰi˦˦
一刨花	iɪʔ˥ bɔ˨˦ huo˦˦
一到	iɪʔ˥ tɔ˦˦
一到來	iɪʔ˥ tɔ˦˦ le˨˦
一到来	iɪʔ˥ tɔ˦˦ le˨˦
一到裏	iɪʔ˥ tɔ˦˦ li˨˩˧
一到里	iɪʔ˥ tɔ˦˦ li˨˩˧
一势眼	iɪʔ˥ sʮ˦˦ ŋɛ˨˩˧
一勢眼	iɪʔ˥ sʮ˦˦ ŋɛ˨˩˧
一包一折	iɪʔ˥ pɔ˥˧ iɪʔ˥ ʨiɪʔ˥
一包一𢷒	iɪʔ˥ pɔ˥˧ iɪʔ˥ ʥiɪʔ˩˨
一口鐘	iɪʔ˥ kʰœʏ˧˥ ʦoŋ˥˧
一口钟	iɪʔ˥ kʰœʏ˧˥ ʦoŋ˥˧
一只鼎	iɪʔ˥ ʦɐʔ˥ tiŋ˧˥
一场呒结果	iɪʔ˥ ʥiã˨˩˧ ʔm̩˦˦ ʨiɪʔ˥ kəu˧˥
一場嘸結果	iɪʔ˥ ʥiã˨˩˧ ʔm̩˦˦ ʨiɪʔ˥ kəu˧˥
一塌刮仔	iɪʔ˥ tʰɐʔ˥ kuɐʔ˥ ʦɿ˧˥
一塌刮子	iɪʔ˥ tʰɐʔ˥ kuɐʔ˥ ʦɿ˧˥
一声响	iɪʔ˥ ɕiŋ˥˧ ɕiã˧˥
一够岁	iɪʔ˥ kœʏ˦˦ sʮ˦˦
一够昼	iɪʔ˥ kœʏ˦˦ ʨiʏ˦˦
一夠晝	iɪʔ˥ kœʏ˦˦ ʨiʏ˦˦
一夠歲	iɪʔ˥ kœʏ˦˦ sʮ˦˦
一大摙	iɪʔ˥ dəu˨˩˧ li˨˩˧
一定不易	iɪʔ˥ diŋ˨˩˧ pɐʔ˥ ɦi˨˦
一家	iɪʔ˥ ko˥˧
一家屋裡	iɪʔ˥ ko˥˧ oʔ˥ li˨˩˧
一家屋里	iɪʔ˥ ko˥˧ oʔ˥ li˨˩˧
一带两便	iɪʔ˥ ta˦˦ liã˨˩˧ bi˨˩˧
一帶兩便	iɪʔ˥ ta˦˦ liã˨˩˧ bi˨˩˧
一手一脚	iɪʔ˥ ɕiʏ˧˥ iɪʔ˥ ʨiɐʔ˥
一手一腳	iɪʔ˥ ɕiʏ˧˥ iɪʔ˥ ʨiɐʔ˥
一手落	iɪʔ˥ ɕiʏ˧˥ loʔ˩˨
一打一挼	iɪʔ˥ tã˧˥ iɪʔ˥ nəu˨˦
一排生	iɪʔ˥ ba˨˦ sã˥˧
一搭一档	iɪʔ˥ tɐʔ˥ iɪʔ˥ tɔ̃˦˦
一搭一檔	iɪʔ˥ tɐʔ˥ iɪʔ˥ tɔ̃˦˦
一日到夜	iɪʔ˥ ȵiɪʔ˩˨ tɔ˦˦ ɦia˨˩˧
一时三刻	iɪʔ˥ zɿ˨˦ sɛ˥˧ kʰɐʔ˥
一时里	iɪʔ˥ zɿ˨˦ li˨˩˧
一時三刻	iɪʔ˥ zɿ˨˦ sɛ˥˧ kʰɐʔ˥
一時裏	iɪʔ˥ zɿ˨˦ li˨˩˧
一晌	iɪʔ˥ zɔ̃˨˩˧
一晌晌	iɪʔ˥ zɔ̃˨˩˧ zɔ̃˨˩˧
一晌裏	iɪʔ˥ zɔ̃˨˩˧ li˨˩˧
一晌記	iɪʔ˥ zɔ̃˨˩˧ ʨi˦˦
一晌记	iɪʔ˥ zɔ̃˨˩˧ ʨi˦˦
一晌里	iɪʔ˥ zɔ̃˨˩˧ li˨˩˧
一来一去	iɪʔ˥ le˨˦ iɪʔ˥ ʨʰi˦˦
一样	iɪʔ˥ ɦiã˨˩˧
一樣	iɪʔ˥ ɦiã˨˩˧
一沰	iɪʔ˥ toʔ˥
一沰沰	iɪʔ˥ toʔ˥ toʔ˥
一生一世	iɪʔ˥ sã˥˧ iɪʔ˥ ɕi˦˦
一生世	iɪʔ˥ sã˥˧ ɕi˦˦
一直	iɪʔ˥ ʥiɪʔ˩˨
一直鼻头	iɪʔ˥ ʥiɪʔ˩˨ bɐʔ˩˨ dœʏ˨˦
一直鼻頭	iɪʔ˥ ʥiɪʔ˩˨ bɐʔ˩˨ dœʏ˨˦
一眼	iɪʔ˥ ŋɛ˨˩˧
一眼呒告	iɪʔ˥ ŋɛ˨˩˧ ʔm̩˦˦ kɔ˦˦
一眼嘸告	iɪʔ˥ ŋɛ˨˩˧ ʔm̩˦˦ kɔ˦˦
一眼眼	iɪʔ˥ ŋɛ˨˩˧ ŋɛ˨˩˧
一節勢	iɪʔ˥ ʨiɪʔ˥ sʮ˦˦
一級	iɪʔ˥ ʨiɪʔ˥
一级	iɪʔ˥ ʨiɪʔ˥
一老一实	iɪʔ˥ lɔ˨˩˧ iɪʔ˥ zʮœʔ˩˨
一老一實	iɪʔ˥ lɔ˨˩˧ iɪʔ˥ zʮœʔ˩˨
一聲響	iɪʔ˥ ɕiŋ˥˧ ɕiã˧˥
一般般	iɪʔ˥ pɛ˥˧ pɛ˥˧
一色一样	iɪʔ˥ sɐʔ˥ iɪʔ˥ ɦiã˨˩˧
一色一樣	iɪʔ˥ sɐʔ˥ iɪʔ˥ ɦiã˨˩˧
一色斯样	iɪʔ˥ sɐʔ˥ sɿ˥˧ ɦiã˨˩˧
一色斯樣	iɪʔ˥ sɐʔ˥ sɿ˥˧ ɦiã˨˩˧
一节势	iɪʔ˥ ʨiɪʔ˥ sʮ˦˦
一轉一回	iɪʔ˥ ʦʏ˧˥ iɪʔ˥ ɦuɐɪ˨˦
一转一回	iɪʔ˥ ʦʏ˧˥ iɪʔ˥ ɦuɐɪ˨˦
一进一出	iɪʔ˥ ʨiŋ˦˦ iɪʔ˥ ʦʰʮœʔ˥
一進一出	iɪʔ˥ ʨiŋ˦˦ iɪʔ˥ ʦʰʮœʔ˥
一釘一眼	iɪʔ˥ tiŋ˦˦ iɪʔ˥ ŋɛ˨˩˧
一钉一眼	iɪʔ˥ tiŋ˦˦ iɪʔ˥ ŋɛ˨˩˧
一長二短	iɪʔ˥ ʥiã˨˦ ȵi˨˩˧ tø˧˥
一長五短	iɪʔ˥ ʥiã˨˦ ŋ̩˨˩˧ tø˧˥
一長兩短	iɪʔ˥ ʥiã˨˦ liã˨˩˧ tø˧˥
一长两短	iɪʔ˥ ʥiã˨˦ liã˨˩˧ tø˧˥
一长二短	iɪʔ˥ ʥiã˨˦ ȵi˨˩˧ tø˧˥
一长五短	iɪʔ˥ ʥiã˨˦ ŋ̩˨˩˧ tø˧˥
一隔周	iɪʔ˥ kɐʔ˥ ʨiʏ˥˧
一隻鼎	iɪʔ˥ ʦɐʔ˥ tiŋ˧˥
一𪰻	iɪʔ˥ ʨʰiã˧˥
丁獅子	tiŋ˥˧ sɿ˥˧ ʦɿ˧˥
丁相公	tiŋ˥˧ ɕiã˦˦ koŋ˥˧
丁硬骨粒	tiŋ˥˧ ŋã˨˩˧ kuɐʔ˥ liɪʔ˩˨
七	ʨʰiɪʔ˥
七七八八	ʨʰiɪʔ˥ ʨʰiɪʔ˥ pɐʔ˥ pɐʔ˥
七头	ʨʰiɪʔ˥ dœʏ˨˦
七巴叉	ʨʰiɪʔ˥ po˥˧ ʦʰo˥˧
七搅八搅	ʨʰiɪʔ˥ gɔ˨˩˧ pɐʔ˥ gɔ˨˩˧
七搭八搭	ʨʰiɪʔ˥ tɐʔ˥ pɐʔ˥ tɐʔ˥
七攪八攪	ʨʰiɪʔ˥ gɔ˨˩˧ pɐʔ˥ gɔ˨˩˧
七月半	ʨʰiɪʔ˥ ɦyəʔ˩˨ pũ˦˦
七架屋	ʨʰiɪʔ˥ ko˦˦ oŋ˥˧
七石缸	ʨʰiɪʔ˥ zɐʔ˩˨ kɔ̃˥˧
七簇星	ʨʰiɪʔ˥ ʦʰoʔ˥ ɕiŋ˥˧
七纏八纏	ʨʰiɪʔ˥ ʥi˨˦ pɐʔ˥ ʥi˨˦
七缠八缠	ʨʰiɪʔ˥ ʥi˨˦ pɐʔ˥ ʥi˨˦
七衣八𠡒	ʨʰiɪʔ˥ i˧˥ pɐʔ˥ tɐɪ˧˥
七講八講	ʨʰiɪʔ˥ kɔ̃˧˥ pɐʔ˥ kɔ̃˧˥
七讲八讲	ʨʰiɪʔ˥ kɔ̃˧˥ pɐʔ˥ kɔ̃˧˥
七蹱八跌	ʨʰiɪʔ˥ ʦʰoŋ˦˦ pɐʔ˥ tiɪʔ˥
七錯八改	ʨʰiɪʔ˥ ʦʰəu˦˦ pɐʔ˥ ge˨˩˧
七错八改	ʨʰiɪʔ˥ ʦʰəu˦˦ pɐʔ˥ ge˨˩˧
七闖八跌	ʨʰiɪʔ˥ ʦʰɔ̃˧˥ pɐʔ˥ tiɪʔ˥
七闯八跌	ʨʰiɪʔ˥ ʦʰɔ̃˧˥ pɐʔ˥ tiɪʔ˥
七頭	ʨʰiɪʔ˥ dœʏ˨˦
七騙八拐	ʨʰiɪʔ˥ pʰi˦˦ pɐʔ˥ kua˧˥
七骗八拐	ʨʰiɪʔ˥ pʰi˦˦ pɐʔ˥ kua˧˥
七高八低	ʨʰiɪʔ˥ kɔ˥˧ pɐʔ˥ ti˥˧
万三	vɛ˨˩˧ sɛ˥˧
万三鬼	vɛ˨˩˧ sɛ˥˧ ʨy˧˥
万宝全书	vɛ˨˩˧ pɔ˧˥ ʣʏ˨˦ sʮ˥˧
万生万世	vɛ˨˩˧ sã˥˧ vɛ˨˩˧ ɕi˦˦
万试万应	vɛ˨˩˧ sɿ˦˦ vɛ˨˩˧ iŋ˥˧
丈人	ʥiã˨˩˧ ȵiŋ˨˦
丈人老头	ʥiã˨˩˧ ȵiŋ˨˦ lɔ˨˩˧ dœʏ˨˦
丈人老頭	ʥiã˨˩˧ ȵiŋ˨˦ lɔ˨˩˧ dœʏ˨˦
丈人阿爸	ʥiã˨˩˧ ȵiŋ˨˦ ɐʔ˥ pɐʔ˥
丈姆	ʥiã˨˩˧ m̩˨˦
丈姆娘	ʥiã˨˩˧ m̩˨˦ ȵiã˨˦
丈板	ʥiã˨˩˧ pɛ˧˥
三不时	sɛ˥˧ pɐʔ˥ zɿ˨˦
三不時	sɛ˥˧ pɐʔ˥ zɿ˨˦
三兄四弟	sɛ˥˧ ɕyoŋ˥˧ sɿ˦˦ di˨˩˧
三八两时	sɛ˥˧ pɐʔ˥ liã˨˩˧ zɿ˨˦
三八兩時	sɛ˥˧ pɐʔ˥ liã˨˩˧ zɿ˨˦
三八时	sɛ˥˧ pɐʔ˥ zɿ˨˦
三八時	sɛ˥˧ pɐʔ˥ zɿ˨˦
三勿像	sɛ˥˧ vɐʔ˩˨ ʑiã˨˩˧
三勿相信	sɛ˥˧ vɐʔ˩˨ ɕiã˦˦ ɕiŋ˦˦
三十六桶	sɛ˥˧ zʮœʔ˩˨ loʔ˩˨ doŋ˨˩˧
三十年夜	sɛ˥˧ sʮœʔ˥ ȵi˨˦ ɦia˨˩˧
三千	sɛ˥˧ ʨʰi˥˧
三只手	sɛ˥˧ ʦɐʔ˥ ɕiʏ˧˥
三吓头	sɛ˥˧ hɐʔ˥ dœʏ˨˦
三嚇頭	sɛ˥˧ hɐʔ˥ dœʏ˨˦
三夜桶	sɛ˥˧ ɦia˨˩˧ doŋ˨˩˧
三头六面	sɛ˥˧ dœʏ˨˦ loʔ˩˨ mi˨˩˧
三对六面	sɛ˥˧ tɐɪ˦˦ loʔ˩˨ mi˨˩˧
三對六面	sɛ˥˧ tɐɪ˦˦ loʔ˩˨ mi˨˩˧
三弄四弄	sɛ˥˧ loŋ˨˩˧ sɿ˦˦ loŋ˨˩˧
三搭六桥	sɛ˥˧ tɐʔ˥ loʔ˩˨ ʥio˨˦
三搭六橋	sɛ˥˧ tɐʔ˥ loʔ˩˨ ʥio˨˦
三日三夜	sɛ˥˧ ȵiɪʔ˩˨ sɛ˥˧ ɦia˨˩˧
三日两头	sɛ˥˧ ȵiɪʔ˩˨ liã˨˩˧ dœʏ˨˦
三日兩頭	sɛ˥˧ ȵiɪʔ˩˨ liã˨˩˧ dœʏ˨˦
三时八节	sɛ˥˧ zɿ˨˦ pɐʔ˥ ʨiɪʔ˥
三時八節	sɛ˥˧ zɿ˨˦ pɐʔ˥ ʨiɪʔ˥
三脚六面	sɛ˥˧ ʨiɐʔ˥ loʔ˩˨ mi˨˩˧
三脚猫	sɛ˥˧ ʨiɐʔ˥ mɛ˨˩˧
