㮸	soŋ˥$
㿭	ʦʰaʔ˥$
䢚	kã˥˧$
䫲	he˥˧$
一	iəʔ˥$
丁	tiən˥˧$
七	ʦʰiəʔ˥$
万	mɛ˩˧$
丈	zã˩˧$
三	sɛ˥˧$
上	zã$
下	jia˩˧$
不	pəʔ˥$
与	y˥$
丐	kɛ˦˦˥$
丑	ʦʰəɯ˩˧$
专	ʦø˥˧$
且	ʦʰoŋ˥˧$
世	sɿ˦˦˥$
丘	ʨʰiəɯ˦˦˥$
丙	piən˥$
业	ȵiəʔ˨$
丛	zoŋ˧˩$
东	toŋ˥˧$
丝	sɿ˥˧$
丞	zən˧˩$
丟	tiəɯ˥˧$
丢	tiəɯ˥˧$
两	liã˩˧$
严	ȵie˧˩$
並	biən˩˧$
丧	sɑ̃˦˦˥$
个	ɦəʔ˨$
丫	o˥˧$
丬	bɛ˧˩$
中	ʦoŋ˦˦˥$
丰	foŋ˥˧$
串	ʦʰø˩˧$
临	liən˧˩$
丸	ɦø˧˩$
丹	tɛ˥˧$
为	ɦue˧˩$
主	ȵi˩˧$
丽	li˩˧$
举	ʨy˥$
乃	na˩˧$
久	ʨiəɯ˥$
义	ȵi˩˧$
之	ʦɿ˥˧$
乌	u˥˧$
乍	zo˩˧$
乎	ɦu˧˩$
乏	vaʔ˨$
乐	jiaʔ˨$
乓	pʰã˥˧$
乔	ʥiɔ˧˩$
乖	kua˥˧$
乘	zən˧˩$
乙	iəʔ˥$
九	ʨiəɯ˥$
乞	ʨʰiəʔ˥$
也	ie˥$
习	ziəʔ˨$
乡	ɕiã˥˧$
书	sʮ˥˧$
买	ma˩˧$
乱	lø˦˦˥$
乳	zʮ˩˧$
乾	kø˥˧$
亂	lø˦˦˥$
了	liɔ˩˧$
争	ʦã˥˧$
事	zɿ˩˧$
于	jy˧˩$
亏	kʰue˥˧$
云	jyən˧˩$
五	n̩˩˧$
井	ʦiən˥$
亘	kən˦˦˥$
亙	kən˦˦˥$
亚	ia˦˦˥$
亞	ia˦˦˥$
亡	vɑ̃˧˩$
交	ʨiɔ˥˧$
亥	ɦɛ˩˧$
亦	jiəʔ˨$
产	ʦʰɛ˩˧$
亨	hã˥˧$
亩	məɯ˩˧$
享	ɕiã˥$
京	ʨiən˥˧$
亭	diən˧˩$
亮	liã˩˧$
亲	ʦʰiən˥˧$
人	zən˧˩$
亿	i˦˦˥$
什	zəʔ˨$
仁	zən˧˩$
仅	ʥiən˩˧$
仆	boʔ˨$
仇	zəɯ˧˩$
今	ʨiən˥˧$
介	ka˦˦˥$
仍	zən˧˩$
从	zoŋ˧˩$
仑	lən˧˩$
仓	ʦʰɑ̃˥˧$
仕	zɿ˩˧$
他	tʰa˥˧$
仗	zã˩˧$
付	fu˦˦˥$
仙	sie˥˧$
代	dɛ˩˧$
令	liən˩˧$
以	i˥$
仪	ȵi˧˩$
仰	ȵiã˩˧$
仲	zoŋ˩˧$
件	ʥie˧˩$
价	ka˦˦˥$
任	zən˩˧$
仿	fɑ̃˥$
伊	i˥˧$
伍	ɦu˩˧$
伏	voʔ˨$
伐	vaʔ˨$
休	ɕiəɯ˥˧$
众	ʦoŋ˦˦˥$
优	iəɯ˥˧$
会	ue˦˦˥$
伞	sɛ˦˦˥$
伟	ɦue˩˧$
传	zø˧˩$
伤	sã˥˧$
伦	lən˧˩$
伪	ŋue˩˧$
伯	paʔ˥$
估	ku˥$
伴	bø˩˧$
伶	liən˧˩$
伸	sən˥˧$
伺	zɿ˩˧$
似	zɿ˩˧$
佃	die˩˧$
但	dɛ˩˧$
佈	pu˦˦˥$
位	ɦue˩˧$
低	ti˥˧$
佐	ʦu˦˦˥$
佑	iəɯ˦˦˥$
体	tʰi˩˧$
何	ɦu˧˩$
余	jy˧˩$
作	ʦoʔ˥$
佝	həɯ˥˧$
你	ni˥˧$
佩	be˩˧$
使	sɿ˥$
侄	zəʔ˨$
來	lɛ˧˩$
侈	ʦʰɿ˥˧$
例	li˩˧$
侍	zɿ˩˧$
供	koŋ˦˦˥$
依	i˥˧$
侠	jiaʔ˨$
侧	ʦəʔ˥$
侬	ȵioŋ˧˩$
侮	vu˩˧$
侯	ɦəɯ˧˩$
侵	ʦʰiən˥˧$
便	bie˧˩$
促	ʦʰoʔ˥$
俊	ʦiən˦˦˥$
俏	ʦʰiɔ˩˧$
俗	zoʔ˨$
俘	fu˥˧$
保	pɔ˥$
俟	zɿ˩˧$
俠	jiaʔ˨$
信	siən˦˦˥$
俨	ȵie˩˧$
俭	ʥie˧˩$
修	siəɯ˥˧$
俯	fu˥$
俱	ʥy˩˧$
俾	pe˥$
倉	ʦʰɑ̃˥˧$
倍	be˩˧$
倒	tɔ˦˦˥$
倔	ʥioʔ˨$
倘	tʰɑ̃˩˧$
候	ɦəɯ$
倚	i˥$
借	ʦia˦˦˥$
倡	ʦʰã˩˧$
倦	ʥiø˩˧$
倪	ȵi˧˩$
倫	lən˧˩$
倭	u˥˧$
债	ʦa˦˦˥$
值	zəʔ˨$
倾	ʨʰiən˥˧$
假	ka˥$
偉	ɦue˩˧$
偏	pʰie˥˧$
做	ʦu˦˦˥$
停	diən˧˩$
健	ʥie˧˩$
側	ʦəʔ˥$
偶	ŋəɯ˩˧$
偷	tʰəɯ˥˧$
偿	zã˧˩$
傀	kʰue˩˧$
傅	fu˦˦˥$
傍	bɑ̃˩˧$
傑	ʥiəʔ˨$
傘	sɛ˦˦˥$
傢	ka˥˧$
储	zʮ˧˩$
催	ʦʰue˥˧$
傲	ŋɔ˩˧$
傳	zø˧˩$
債	ʦa˦˦˥$
傷	sã˥˧$
傻	sa˦˦˥$
傾	ʨʰiən˥˧$
僅	ʥiən˩˧$
像	ziã˩˧$
僕	boʔ˨$
僞	ŋue˩˧$
僧	sən˥˧$
僵	ʨiã˥˧$
價	ka˦˦˥$
僻	pʰiəʔ˥$
儀	ȵi˧˩$
儂	ȵioŋ˧˩$
億	i˦˦˥$
儉	ʥie˧˩$
儒	zʮ˧˩$
償	zã˧˩$
儡	le˩˧$
優	iəɯ˥˧$
儲	zʮ˧˩$
儼	ȵie˩˧$
儿	n̩˧˩$
兀	ŋəʔ˨$
允	yən˦˦˥$
元	ȵiø˧˩$
充	ʦʰoŋ˥˧$
兆	zɔ˩˧$
先	sie˥˧$
光	kuɑ̃˥˧$
克	kʰəʔ˥$
兌	de˩˧$
免	mie˩˧$
兑	de˩˧$
兒	n̩˧˩$
兔	tʰu˩˧$
党	tɑ̃˥$
兜	təɯ˥˧$
兢	ʥiən˧˩$
入	zəʔ˨$
內	ne˩˧$
全	zie˧˩$
兩	liã˩˧$
八	paʔ˥$
公	koŋ˥˧$
六	loʔ˨$
兮	ji˧˩$
兰	lɛ˧˩$
共	goŋ˩˧$
关	kuɛ˥˧$
兴	ɕiən˥˧$
兵	piən˥˧$
其	ʥi˧˩$
具	ʥy˩˧$
典	tie˥$
兹	ʦɿ˥˧$
养	jiã˩˧$
兼	ʨie˥˧$
兽	səɯ˦˦˥$
冀	ʨi˥˧$
