㞞	zəŋ˧$
䢚	kᴀ̃˦˨˦$
䥛	ʨiɪʔ˥$
䶕	bɔ˩˩˧$
一	iʔ˥$
丁	tiŋ˥˧˧$
七	ʨʰiʔ˥$
万	vɛ̃˩˩˧$
丈	ʥiᴀ̃˨˦˧$
三	sɛ̃˥˧˧$
上	zᴀ̃˨˦˧$
下	ɕiᴀ˦˨˦$
不	peʔ˥$
丑	ʨʰiʊ˦˥˨$
专	ʦɜ̃˥˧˧$
且	ʨʰiᴇ˦˥˨$
丘	ʨʰiʊ˥˧˧$
丙	piŋ˦˥˨$
业	ȵiɪʔ˨˧$
丛	ʣəŋ˧$
东	təŋ˥˧˧$
丝	sɿ˥˧˧$
两	liᴀ̃˨˦˧$
严	ȵiɛ̃˧$
並	biŋ˨˦˧$
丧	sɔ̃˦˨˦$
个	kᴀ˦˨˦$
丫	ɔ˥˧˧$
中	ʦəŋ˥˧˧$
丰	fəŋ˥˧˧$
串	ʦʰɜ̃˦˨˦$
临	liŋ˧$
丹	tɛ̃˥˧˧$
为	ve˩˩˧$
主	ʦɿ˦˥˨$
丽	li˩˩˧$
举	ʨy˦˥˨$
乃	nᴇ˧$
义	ȵi˩˩˧$
乌	u˥˧˧$
乏	vɛʔ˨˧$
乐	lɔʔ˨˧$
乒	pʰiŋ˥˧˧$
乓	pʰᴀ̃˥˧˧$
乖	kuᴇ˥˧˧$
乘	ʣẽŋ˧$
乙	iʔ˥$
九	ʨiʊ˦˥˨$
乞	ʨʰiʔ˥$
也	ɦiᴇ˨˦˧$
习	ʥiʔ˨˧$
乡	ɕiᴀ̃˥˧˧$
书	sɿ˥˧˧$
买	mᴀ˨˦˧$
乱	lẽŋ˩˩˧$
乳	zɿ˨˦˧$
亂	lẽŋ˩˩˧$
争	ʦẽŋ˥˧˧$
事	zɿ˩˩˧$
二	ȵi˩˩˧$
于	ɦy˧$
亏	kʰue˥˧˧$
云	ɦyoŋ˧$
互	vu˩˩˧$
五	vu˨˦˧$
井	ʨiŋ˦˥˨$
亚	iᴀ˦˥˨$
亞	iᴀ˦˥˨$
亡	mɔ̃˧$
交	kɒ˥˧˧$
产	ʦʰɛ̃˦˥˨$
亩	m̩˩˩˧$
享	ɕiᴀ̃˦˥˨$
京	ʨiŋ˥˧˧$
亭	diŋ˧$
亮	liᴀ̃˩˩˧$
亲	ʨʰiŋ˥˧˧$
人	zẽŋ˧$
亿	i˦˨˦$
仅	ʥiŋ˨˦˧$
仇	ʥiʊ˧$
介	kᴀ˦˨˦$
从	ʣəŋ˧$
仓	ʦʰɔ̃˥˧˧$
仗	ʥiᴀ̃˩˩˧$
付	fu˦˨˦$
仙	ɕiɛ̃˥˧˧$
代	dᴇ˩˩˧$
令	liŋ˩˩˧$
以	ɦi˩˩˧$
仰	ȵiᴀ̃˨˦˧$
件	ʥiɛ̃˩˩˧$
价	kɔ˦˨˦$
任	ȵiŋ˧$
份	vẽŋ˩˩˧$
仿	fɔ̃˦˥˨$
企	ʨʰi˦˥˨$
伍	vu˨˦˧$
伏	vɤʔ˨˧$
伐	vɛʔ˨˧$
休	ɕiʊ˥˧˧$
众	ʦəŋ˦˨˦$
优	iʊ˥˧˧$
伙	hɯ˦˥˨$
会	kue˦˨˦$
伞	sɛ̃˦˥˨$
伟	ve˧$
传	ʣɜ̃˧$
伢	ŋᴀ˨˦˧$
伤	sᴀ̃˥˧˧$
伯	pᴀʔ˥$
估	ku˥˧˧$
伸	sẽŋ˥˧˧$
伽	ʥiᴀ˧$
位	ve˩˩˧$
低	ti˥˧˧$
住	ʣɿ˩˩˧$
体	tʰi˦˥˨$
佔	ʦɜ̃˥˧˧$
何	ɦɯ˧$
余	ɦy˧$
佛	veʔ˨˧$
作	ʦɔʔ˥$
佩	pʰe˦˨˦$
佬	lɒ˨˦˧$
佳	ʨiᴀ˥˧˧$
使	sɿ˦˥˨$
侄	ʣeʔ˨˧$
來	lᴇ˧$
例	liɪʔ˨˧$
侍	zɿ˩˩˧$
供	koŋ˥˧˧$
依	i˥˧˧$
侦	ʦẽŋ˥˧˧$
侧	ʦeʔ˥$
侬	nɔ̃˧$
侵	ʨʰiŋ˥˧˧$
便	biɛ̃˨˦˧$
促	ʦʰɤʔ˥$
俄	ŋɯ˧$
俊	ʦẽŋ˦˥˨$
俗	zɤʔ˨˧$
保	pɒ˦˥˨$
信	ɕiŋ˦˨˦$
修	ɕiʊ˥˧˧$
倉	ʦʰɔ̃˥˧˧$
個	kᴀ˦˨˦$
倍	be˩˩˧$
倒	tɒ˦˥˨$
倔	ʥyʔ˨˧$
倘	tʰɔ̃˦˥˨$
候	ɦiʊ˧$
借	ʨiᴀ˦˨˦$
倦	ʥyɛ̃˩˩˧$
倷	nᴀ˨˦˧$
债	ʦᴀ˦˨˦$
值	ʣeʔ˨˧$
假	kɔ˦˥˨$
偉	ve˧$
偏	pʰiɛ̃˥˧˧$
做	ʦɯ˦˨˦$
停	diŋ˧$
健	ʥiɛ̃˩˩˧$
側	ʦeʔ˥$
偵	ʦẽŋ˥˧˧$
偷	tʰe˥˧˧$
傑	ʥiɪʔ˨˧$
傘	sɛ̃˦˥˨$
備	be˩˩˧$
催	ʦʰe˥˧˧$
傲	ŋɒ˩˩˧$
傳	ʣɜ̃˧$
債	ʦᴀ˦˨˦$
傷	sᴀ̃˥˧˧$
僅	ʥiŋ˨˦˧$
像	ɦiᴀ̃˨˦˧$
僧	sẽŋ˥˧˧$
僱	ku˦˨˦$
僵	ʨiᴀ̃˥˧˧$
價	kɔ˦˨˦$
僻	pʰiʔ˥$
儂	nɔ̃˧$
億	i˦˨˦$
儒	zɿ˧$
優	iʊ˥˧˧$
儿	ŋ̩˧$
元	ɦyɛ̃˧$
兄	ɕyoŋ˥˧˧$
充	ʦʰəŋ˦˨˦$
兆	zɒ˩˩˧$
兇	ɕyoŋ˥˧˧$
先	ɕiɛ̃˥˧˧$
光	kɔ̃˥˧˧$
克	kʰeʔ˥$
兌	dᴇ˩˩˧$
免	miɛ̃˨˦˧$
兑	dᴇ˩˩˧$
兒	ŋ̩˧$
兔	tʰu˦˨˦$
党	tɔ̃˦˥˨$
入	zeʔ˨˧$
內	ne˩˩˧$
全	ʣɜ̃˧$
兩	liᴀ̃˨˦˧$
八	pɛʔ˥$
公	koŋ˥˧˧$
六	lɤʔ˨˧$
兰	lɛ̃˧$
共	goŋ˩˩˧$
关	kuɛ̃˥˧˧$
兴	ɕiŋ˦˨˦$
兵	piŋ˥˧˧$
其	ʥi˧$
具	ʥy˩˩˧$
典	tiɛ̃˦˥˨$
兹	ʦɿ˥˧˧$
养	iᴀ̃˦˥˨$
兽	ɕiʊ˦˨˦$
内	ne˩˩˧$
冊	ʦʰᴀʔ˥$
册	ʦʰᴀʔ˥$
再	ʦᴇ˦˨˦$
冒	mɒ˩˩˧$
写	ɕiᴀ˦˥˨$
军	ʨyoŋ˥˧˧$
农	nəŋ˧$
冠	kuɜ̃˥˧˧$
冤	yɛ̃˥˧˧$
冬	təŋ˥˧˧$
冯	vəŋ˧$
冰	piŋ˥˧˧$
冲	ʦʰəŋ˥˧˧$
决	ʨyɪʔ˥$
冷	lᴀ̃˨˦˧$
冻	təŋ˦˨˦$
净	ɦiŋ˩˩˧$
准	ʦẽŋ˦˥˨$
凉	liᴀ̃˧$
凍	təŋ˦˨˦$
减	kɛ̃˦˥˨$
凑	ʨʰiʊ˦˨˦$
几	ʨi˦˥˨$
凡	vɛ̃˧$
凤	vəŋ˩˩˧$
凭	biŋ˧$
凯	kʰᴇ˦˥˨$
凱	kʰᴇ˦˥˨$
凳	tẽŋ˦˨˦$
凶	ɕyoŋ˥˧˧$
凸	deʔ˨˧$
凹	ɒ˥˧˧$
出	ʦʰeʔ˥$
击	ʨiʔ˥$
刀	tɒ˥˧˧$
刁	tiɔ˥˧˧$
分	fẽŋ˥˧˧$
切	ʨʰiɪʔ˥$
划	vᴀʔ˨˧$
刘	le˧$
则	ʦeʔ˥$
刚	kɔ̃˥˧˧$
初	ʦʰu˥˧˧$
删	sɛ̃˥˧˧$
判	pʰɜ̃˦˨˦$
別	biɪʔ˨˧$
刨	bɒ˩˩˧$
利	li˩˩˧$
刪	sɛ̃˥˧˧$
别	biɪʔ˨˧$
刮	kʰuɛʔ˥$
到	tɒ˦˨˦$
制	ʦɿ˦˨˦$
刷	səʔ˥$
券	ʨʰyɛ̃˦˥˨$
刺	ʦʰɿ˦˨˦$
刻	kʰeʔ˥$
剃	tʰi˦˨˦$
則	ʦeʔ˥$
削	ɕiᴀʔ˥$
前	ʥiɛ̃˧$
剑	ʨiɛ̃˦˨˦$
剔	tʰiʔ˥$
剛	kɔ̃˥˧˧$
剝	pɤʔ˥$
剥	pɤʔ˥$
剧	ʥiʔ˥$
剩	ʣẽŋ˩˩˧$
剪	ʨiɛ̃˦˥˨$
副	fu˦˨˦$
割	kəʔ˥$
劃	vᴀʔ˨˧$
劇	ʥiʔ˥$
劈	pʰiʔ˥$
劉	le˧$
劍	ʨiɛ̃˦˨˦$
力	liʔ˨˧$
劝	ʨʰyɛ̃˦˨˦$
办	bɛ̃˩˩˧$
功	koŋ˥˧˧$
加	kɔ˥˧˧$
劣	liɪʔ˨˧$
动	dəŋ˨˦˧$
助	ʣu˩˩˧$
努	nu˧$
劫	ʨiɪʔ˥$
励	li˩˩˧$
劲	ʥiŋ˧$
劳	lɒ˧$
勁	ʥiŋ˧$
勉	miɛ̃˨˦˧$
動	dəŋ˨˦˧$
勝	sẽŋ˦˨˦$
勞	lɒ˧$
勤	ʥiŋ˧$
勵	li˩˩˧$
勸	ʨʰyɛ̃˦˨˦$
勺	zɔʔ˨˧$
勾	ke˥˧˧$
勿	veʔ˨˧$
包	pɒ˥˧˧$
化	fɔ˦˨˦$
北	peʔ˥$
匠	ɦiᴀ̃˩˩˧$
匣	ɦɛʔ˨˧$
