㔶	kẽ˧$
㜺	ʦæ̃˧$
㧕	liɤ˩˩˧$
㧥	ɕiẽ˧˧˥$
㨖	ʦɿ˧$
㨟	hᴇ˥˨$
㩝	ɦɒ˨˧˩$
㩢	m̥ieʔ˦˥$
㫰	lɒ̃ŋ˩$
㮇	tʰiẽ˧$
㲀	ʦẽ˥˨$
㶇	ɦuãŋ˨˧˩$
㷟	tʰᴇ˥˨$
㸠	diɒ˩˩˧$
㹂	ʥiẽ˩˩˧$
㹙	ãŋ˥˨$
㼌	ɦy˩˩˧$
㼑	liẽ˩$
㽹	fæ̃˧$
㾟	bu˩$
㾩	kua˥˨$
㾪	sãŋ˧˧˥$
䁖	l̥ɤ˥˨$
䂻	ʣãŋ˩$
䇢	kʰu˧˧˥$
䈆	da˩˩˧$
䉬	fi˧$
䉲	m̥i˥˨$
䌷	ʣɤ˨˧˩$
䐈	ʦɿ˧$
䐐	ʨʰiɤ˥˨$
䐬	zɒ˨˧˩$
䓣	mø̃˨˧˩$
䖮	ɕiãŋ˧˧˥$
䗂	hu˥˨$
䗐	sɿ˥˨$
䞁	iẽ˧$
䬵	gᴇ˩˩˧$
䯊	kʰo˥˨$
䱗	ʦʰæ̃˥˨$
䶕	bo˩$
一	ieʔ˦˥$
丁	tiŋ˥˨$
七	ʨʰieʔ˦˥$
万	mæ̃˩$
丈	ʣãŋ˩˩˧$
三	sæ̃˥˨$
上	zãŋ˩˩˧$
下	ɦo˩˩˧$
不	peʔ˦˥$
与	ɦy˨˧˩$
丐	kᴇ˧$
丑	ʦʰɤ˧˧˥$
专	ʦẽ˥˨$
且	ʨʰia˧$
丕	pʰi˥˨$
世	sɿ˧$
丘	ʨʰiɤ˥˨$
丙	piŋ˧˧˥$
业	ȵieʔ˨˧$
丛	ʣoŋ˨˧˩$
东	toŋ˥˨$
丝	sɿ˥˨$
丞	ʣẽ˨˧˩$
丟	tiɤ˥˨$
丢	tiɤ˥˨$
两	liãŋ˩˩˧$
严	ȵiẽ˨˧˩$
並	biŋ˩$
丧	sɒ̃ŋ˥˨$
个	ko˧$
丫	ia˥˨$
中	ʦoŋ˧$
丰	foŋ˥˨$
串	ʦʰẽ˧$
临	liŋ˨˧˩$
丸	ɦuø̃˨˧˩$
丹	tæ̃˥˨$
为	ɦuᴇ˩$
主	ʨy˧˧˥$
丽	li˨˧˩$
举	ʨy˧˧˥$
乃	na˩˩˧$
久	ʨiɤ˧$
么	mo˨˧˩$
义	ȵi˩$
之	ʦɿ˥˨$
乌	u˥˨$
乍	ʣo˩$
乎	ɦu˨˧˩$
乏	væʔ˨˧$
乐	loʔ˨˧$
乒	pʰiŋ˥˨$
乓	pʰãŋ˥˨$
乔	ʥiɒ˨˧˩$
乖	kua˥˨$
乘	ʣəŋ˨˧˩$
乙	ieʔ˦˥$
九	ʨiɤ˧˧˥$
乞	ʨʰieʔ˦˥$
也	ɦa˩˩˧$
习	ʥieʔ˨˧$
乡	ɕiãŋ˥˨$
书	ɕy˥˨$
买	ma˩˩˧$
乱	lø̃˩$
乳	ʑy˩˩˧$
乾	ʥiẽ˨˧˩$
亂	lø̃˩$
了	liɒ˩˩˧$
予	ɦy˨˧˩$
争	ʦãŋ˥˨$
事	zɿ˩$
二	ȵi˩$
于	y˥˨$
亏	kʰuᴇ˥˨$
云	ɦiø̃˨˧˩$
互	ɦu˩$
五	ŋ̩˩˩˧$
井	ʨiŋ˧˧˥$
亘	kəŋ˧$
亙	kəŋ˧$
亚	ia˧˧˥$
些	søʔ˦˥$
亞	ia˧˧˥$
亟	ʨieʔ˦˥$
亡	vɒ̃ŋ˨˧˩$
亢	kʰɒ̃ŋ˧$
交	gɒ˩$
亥	ɦᴇ˩˩˧$
亦	ɦieʔ˨˧$
产	ʦʰæ̃˧˧˥$
亨	hãŋ˥˨$
亩	mɤ˩˩˧$
享	ɕiãŋ˧˧˥$
京	ʨiŋ˥˨$
亭	diŋ˨˧˩$
亮	liãŋ˩$
亲	ʨʰiŋ˥˨$
亵	ɕieʔ˦˥$
人	zẽ˨˧˩$
亿	i˧$
什	zeʔ˨˧$
仁	zẽ˨˧˩$
仃	tiŋ˥˨$
仄	ʦəʔ˦˥$
仅	ʥiŋ˩˩˧$
仆	fu˧$
仇	ʣɤ˨˧˩$
今	ʨiŋ˥˨$
介	ka˧$
仍	ʣəŋ˨˧˩$
从	ʣoŋ˨˧˩$
仑	lẽ˨˧˩$
仓	ʦʰɒ̃ŋ˥˨$
仔	ʦɿ˧˧˥$
仕	zɿ˩˩˧$
他	tʰa˥˨$
仗	ʣãŋ˩˩˧$
付	fu˧$
仙	ɕiẽ˥˨$
代	dᴇ˩$
令	liŋ˩$
以	i˥˨$
仪	ȵi˨˧˩$
们	mẽ˨˧˩$
仰	ȵiãŋ˩˩˧$
仲	ʣoŋ˩$
件	ʥiẽ˩˩˧$
价	ʨia˧$
任	zẽ˩$
份	vẽ˩$
仿	fɒ̃ŋ˧˧˥$
企	ʨʰi˧˧˥$
伉	kʰɒ̃ŋ˧$
伊	i˥˨$
伍	ɦu˩˩˧$
伎	ʥi˩˩˧$
伏	boʔ˨˧$
伐	væʔ˨˧$
休	ɕiɤ˥˨$
众	ʦoŋ˧$
优	iɤ˥˨$
伙	hu˧˧˥$
会	kuᴇ˧$
伛	iɤ˧$
伞	sæ̃˧˧˥$
伟	ɦuᴇ˩˩˧$
传	ʣẽ˨˧˩$
伤	sɒ̃ŋ˥˨$
伦	lẽ˨˧˩$
伪	ɦuᴇ˩$
伯	paʔ˦˥$
估	ku˧˧˥$
伴	bø̃˩$
伶	liŋ˨˧˩$
伸	sẽ˥˨$
伺	zɿ˩$
似	zɿ˩˩˧$
伽	ʥia˨˧˩$
佃	diẽ˨˧˩$
但	dæ̃˩$
佈	pu˧$
位	ɦuᴇ˩$
低	ti˥˨$
住	ʥy˩$
佐	ʦo˧˧˥$
佑	ɦiɤ˩$
体	tʰi˧˧˥$
佔	ʦẽ˧$
何	ɦa˨˧˩$
佘	zo˨˧˩$
余	ɦy˨˧˩$
佛	feʔ˦˥$
作	ʦoʔ˦˥$
佝	hɤ˧$
你	ni˩˩˧$
佣	ɦioŋ˩$
佩	bᴇ˩$
佯	ɦiãŋ˨˧˩$
佳	ʨia˧˧˥$
併	piŋ˧˧˥$
佻	tʰiɒ˥˨$
佾	ɦieʔ˨˧$
使	sɿ˧˧˥$
侃	kʰẽ˧˧˥$
侄	ʣeʔ˨˧$
來	lᴇ˨˧˩$
侈	ʦʰɿ˧˧˥$
例	li˩$
侍	zɿ˩$
侑	ɦiɤ˩$
侔	mɤ˨˧˩$
侖	lẽ˨˧˩$
供	kuoŋ˧$
依	i˥˨$
侠	ɦiaʔ˨˧$
侣	li˩˩˧$
侦	ʦẽ˧$
侧	ʦəʔ˦˥$
侨	ʥiɒ˨˧˩$
侩	kuᴇ˧$
侬	noŋ˨˧˩$
侮	ɦu˨˧˩$
侯	ɦɤ˨˧˩$
侵	ʨʰiŋ˥˨$
侶	ly˩˩˧$
侷	ʥioʔ˨˧$
便	biẽ˨˧˩$
係	ɕi˧$
促	ʦʰoʔ˦˥$
俄	ŋo˨˧˩$
俊	ʨiø̃˧˧˥$
俏	ʨʰiɒ˧$
俐	li˩$
俗	ʣoʔ˨˧$
俘	fu˥˨$
保	pɒ˧˧˥$
俞	ɦy˨˧˩$
俟	zɿ˩˩˧$
俠	ɦiaʔ˨˧$
信	ɕiŋ˧$
俦	ʣɤ˨˧˩$
俨	ŋẽ˩˩˧$
俩	liãŋ˩˩˧$
俪	li˩$
俭	ʥiẽ˩˩˧$
修	ɕiɤ˥˨$
俯	fu˧˧˥$
俱	ʥy˩˩˧$
俳	ba˨˧˩$
倆	liãŋ˩˩˧$
倉	ʦʰɒ̃ŋ˥˨$
個	ko˧$
倌	kuø̃˥˨$
倍	bᴇ˩$
倏	soʔ˦˥$
們	mẽ˨˧˩$
倒	tɒ˧$
倔	ʥioʔ˨˧$
倘	tʰɒ̃ŋ˧˧˥$
候	ɦɤ˩$
倚	i˥˨$
倜	tʰieʔ˦˥$
借	ʨia˧$
倡	ʦʰɒ̃ŋ˧$
倦	ʥiø̃˩$
倨	ʨy˧$
倩	ʨʰiẽ˧$
倪	ȵi˨˧˩$
倫	lẽ˨˧˩$
倭	o˥˨$
倷	na˩˩˧$
债	ʦa˧$
倻	ɦia˩˩˧$
值	ʣəʔ˨˧$
倾	ʨʰiŋ˥˨$
偃	iẽ˧$
偆	ʦʰẽ˧˧˥$
假	ko˧$
偉	ɦuᴇ˩˩˧$
偎	uᴇ˥˨$
偏	pʰiẽ˧˧˥$
偐	iẽ˧˧˥$
做	ʦo˧$
停	diŋ˨˧˩$
健	ʥiẽ˩$
側	ʦəʔ˦˥$
偵	ʦẽ˧$
