㑃	æ˥˨˧
㑩	ləu˨˨˧
㒼	mø˨˨˧
㒼裆裤	mø˨˨˧ tɑ̃˥ kʰəu˨˩
㒼襠褲	mø˨˨˧ tɑ̃˥ kʰəu˨˩
㓟	phiⱼ˦
㔶	kø˥˨˧
㔷	y˦
㕙	ʦʰin˦
㖏	ȵiaʔ˨˧
㖸	ȵiã˨˧˩
㛙	sin˦
㛴	næ˨˧˩
㝱	moŋ˨˧˩
㡧	ʦən˥˨˧
㢊	ɑ˥˩
㢙	ʥin˨˧˩
㢼	piəʔ˦˧
㥡	ʦʰʮ˥˨˧
㦌	huəʔ˦˧
㧙	biəʔ˨˧
㧦	shiø˦
㨟	gᴇ˨˨˧
㨪	huɑ̃˥˨˧
㩝	ɦæ˧˩
㩝粥箲飯	ɦæ˨˨˧ ʦoʔ˦˧ ɦæ˨˨˧ vᴇ ˨˩
㩝粥箲饭	ɦæ˨˨˧ ʦoʔ˦˧ ɦæ˨˨˧ vᴇ ˨˩
㩺	pʰiⱼ˥˩
㪗	tʰʏ˥˩
㪗被头	tʰʏ˥˩ bi˧ dʏ
㪗被頭	tʰʏ˥˩ bi˧ dʏ
㪥	ʦo˦
㪬	zoʔ˨˧
㫰	lɑ̃˨˧˩
㬟	fən˥
㬵	ʨiæ˦
㮶	soʔ˦˧
㰍	loŋ˨˨˧
㱟	pʰiⱼ˦
㳽	miⱼ˨˨˧
㶚	po˥˨˧
㷈	əʔ˦˧
㷟	tʰᴇ˦
㸠	diæ˨˧˩
㹂	ʨʰi˥˩
㼈	ləu˨˨˧
㼑	liɪ˨˨˧
㼭	di˨˧˩
㽂	səʔ˦˧
㽱	kæ˥˩
㽹	fᴇ˥˨˧
㾂	hᴇ˥
㾂奤奤	hᴇ˥ poʔ˨ poʔ˨
㾋	ɕy˥˨˧
㾘	kã˥˩
㾦	bᴇ˨˨˧
㾹	zɑ˨˨˧
㿭	ʦʰɑʔ˦˧
㿭塵	boŋ˨˨˧ zən˧
㿭尘	boŋ˨˨˧ zən˧
㿯	taʔ˦˧
㿴	taʔ˦˧
䀫	kaʔ˦˧
䂻	zã˧˩
䃗	poʔ˦˧
䃰	ʦhaʔ˦˧
䄸	pʰoʔ˦˧
䆅	ʦiⱼ˥˨˧
䇲	ʨiəʔ˦˧
䈆	dɑ˨˧˩
䈍砖	mɑ̃˨˨˧ ʦø˨˩
䈍磚	mɑ̃˨˨˧ ʦø˨˩
䈰	sæ˦
䈳	daʔ˨˧
䉬	fiⱼ˥˨˧
䊓	zʮ˨˧˩
䌟	pɑʔ˦˧
䌟辫子	pɑʔ˦˧ biɪ˧˩ ʦɿ
䌟辮子	pɑʔ˦˧ biɪ˧˩ ʦɿ
䌠	ʨʰi˦
䌥	in˥˩
䌷	zøʏ˨˨˧
䏒	pʰi˥˨˧
䐇	min˨˧˩
䐈	ʦəʔ˦˧
䐊	ɦuən˨˧˩
䐛	taʔ˦˧
䐥	oŋ˥˨˧
䐥中	oŋ˥˩˧ ʦoŋ˨˩
䐬	zæ˨˨˧
䐽	mø˨˨˧
䑆	ɦiã˨˧˩
䑳	lən˨˨˧
䑵	mæ˨˧˩
䖆	ȵiã˧˩
䘟	tiæ˥˨˧
䛀	fᴇ˥˨˧
䛛	uᴇ˥˨˧
䛬	tiæ˦
䜣	ɕin˦
䞁	i˥˨˧
䞋	ʦʰən˥˨˧
䤿子	ʨiəʔ˥ ʦɿ
䥛	ʨiʔ˦˧
䥛子	ʨiəʔ˦˧ ʦɿ
䩍	liæ˨˧˩
䫈	zən˨˧˩
䫌	pʰiⱼ˥˩
䫜	æ˦
䬵	gᴇ˨˧˩
䭂	iəʔ˦˧
䭤	ʨʰi˥˩
䰾肺湯	pɑ˥ fi˧ tʰɑ̃˨˩
䰾魚	pɑ˥ ŋ̍˨˩
䱀	ɑ̃˦
䱀斯魚	ɑ̃˨˨˧ sɿ˧ ŋ̍˨˩
䱀斯鱼	ɑ̃˨˨˧ sɿ˧ ŋ̍˨˩
䱗	ʦhø˦
䲉	sɿ˦
䴱	tʰəu˦
䵑	ȵin˧˩
