㔢	ʨiæʔ˥$
㔣	lei˧˥$
㨪	huɔ̃˥$
㪗	tʰɤu˧˨˥$
㫰	lɔ̃˧˥$
㫾	sɔ̃˧˨˥$
㮇	tʰiᴇ˥$
㵸	ɦiaʔ˨˧$
㽘	gɔ̃˨˩˦$
㽺	hiɪʔ˥$
㾹	za˧˥$
㿭	ʦʰaʔ˥$
䂻	ʣaŋ˧˥$
䉭	liæʔ˨˧$
䏘	pʰiɪʔ˥$
䓨	iŋ˧˧˦$
䖮	hiaŋ˧˨˥$
䤋	kuaʔ˥$
䥛	kiæʔ˥$
䲐	lu˨˩˦$
䴉	ɦuᴇ˨˨˦$
一	iɪʔ˥$
丁	tiŋ˧˧˦$
七	ʨʰiɪʔ˥$
万	mᴇ˧˥$
丈	ʥiaŋ˨˩˦$
三	sᴇ˧˧˦$
上	zɔ̃˨˩˦$
下	hia˧˨˥$
不	pøʔ˥$
与	ɦy˨˩˦$
丏	miᴇ˨˩˦$
丐	kei˥$
丑	ʨʰiɤu˧˨˥$
专	ʨyø˧˧˦$
且	ʨʰi˧˨˥$
丕	pʰi˧˧˦$
世	ɕi˥$
丘	kʰiɤu˧˧˦$
丙	piŋ˧˨˥$
业	niæʔ˨˧$
丛	zoŋ˨˨˦$
东	toŋ˧˧˦$
丝	sɿ˧˧˦$
丞	ʑiŋ˨˨˦$
丟	tiɤu˧˧˦$
丢	tiɤu˧˧˦$
两	liaŋ˨˩˦$
严	niᴇ˨˨˦$
並	biŋ˨˩˦$
丧	sɔ̃˧˧˦$
个	kou˥$
丫	ia˧˧˦$
丬	bᴇ˨˨˦$
中	ʨyoŋ˧˧˦$
丰	foŋ˧˧˦$
串	ʨʰyø˥$
临	liŋ˨˨˦$
丸	ɦuø˨˨˦$
丹	tᴇ˧˧˦$
为	ɦuei˨˨˦$
主	ʨy˧˨˥$
丽	li˨˨˦$
举	gy˨˩˦$
乃	na˨˩˦$
久	kiɤu˧˨˥$
义	ni˧˥$
之	ʦɿ˧˧˦$
乌	u˧˧˦$
乍	ʦa˥$
乎	ɦu˨˨˦$
乏	væʔ˨˧$
乐	lɔʔ˨˧$
乔	giau˨˨˦$
乖	kua˧˧˦$
乘	ʑiŋ˨˨˦$
乙	iɪʔ˥$
九	kiɤu˧˨˥$
乞	kʰiɪʔ˥$
也	ɦa˨˩˦$
习	ʑiɪʔ˨˧$
乡	hiaŋ˧˧˦$
书	ɕy˧˧˦$
买	ma˨˩˦$
乱	luø˧˥$
乳	ʑy˨˩˦$
乾	giᴇ˨˨˦$
亂	luø˧˥$
了	liau˨˩˦$
予	ɦy˨˨˦$
争	ʦaŋ˧˧˦$
二	ni˧˥$
于	ɦy˨˨˦$
亏	kʰuei˧˧˦$
云	ɦyoŋ˨˨˦$
互	ɦu˧˥$
五	ŋ˨˩˦$
井	ʨiŋ˧˨˥$
亘	kəŋ˥$
亙	kəŋ˥$
亚	ia˥$
些	ɕiɪʔ˥$
亞	ia˥$
亟	kiɪʔ˥$
亡	vɔ̃˨˨˦$
亢	kʰɔ̃˥$
交	kau˧˧˦$
亥	ɦei˨˩˦$
亦	ɦiɪʔ˨˧$
产	sᴇ˧˨˥$
亨	haŋ˧˧˦$
亩	m˨˩˦$
享	hiaŋ˧˨˥$
京	kiŋ˧˧˦$
亭	diŋ˨˨˦$
亮	liaŋ˧˥$
亲	ʨʰiŋ˧˧˦$
亵	ɕiæʔ˥$
人	niŋ˨˨˦$
亿	i˥$
什	sɔʔ˥$
仁	ʑiŋ˨˨˦$
仅	giŋ˧˥$
仆	pʰoʔ˥$
仇	ʥiɤu˨˨˦$
今	kiŋ˧˧˦$
介	ka˥$
仍	niŋ˨˨˦$
从	ʦʰoŋ˧˧˦$
仑	ləŋ˨˨˦$
