㑚	na˩˩˧$
㒼	mɛ˨$
㕐	sia˥˧$
㜺	ʦæ˧˧˦$
㫰	lɔ̃˩˩˧$
㲀	ʦən˦$
㹂	ʨʰiɛ˦$
㽹	fæ˧˧˦$
㾪	sã˥˧$
㿭	ʦʰaʔ˥$
䀫	kaʔ˥$
䃚	ʦʰoʔ˥$
䈆	da˦˨$
䊓	zɿ˨$
䑳	lən˨$
䗃	ʥiɛ˨$
䞁	iɛ˧˧˦$
䢚	kã˦$
䥛	ʨiəʔ˥$
䩍	liɔ˨$
䫲	hi˦$
䬵	gɛ˩˩˧$
䭁	ʦɿ˥˧$
䶕	bo˩˩˧$
一	iəʔ˥$
丁	tin˦$
七	ʦʰiəʔ˥$
万	moʔ˨$
丈	zã˦˨$
三	sæ˦$
上	zɔ̃˩˩˧$
下	ja˩˩˧$
丌	ʨi˦$
不	piəʔ˥$
与	i˥˧$
丏	ʔmiɛ˥˧$
丐	kɛ˧˧˦$
丑	ʦʰɤ˥˧$
专	ʦɛ˦$
且	ʦʰia˥˧$
丕	pʰi˦$
世	sɿ˧˧˦$
丘	ʨʰiɤ˦$
丙	pin˥˧$
业	ȵiəʔ˨$
丛	zõ˨$
东	tõ˦$
丝	sɿ˦$
丞	zən˨$
丟	tɤ˦$
丢	tɤ˦$
两	liã˦˨$
严	ȵiɛ˨$
並	bin˦˨$
丧	sɔ̃˧˧˦$
个	ɦəʔ˨$
丫	o˦$
中	ʦõ˧˧˦$
丰	fõ˦$
丱	kuɛ˧˧˦$
串	ʦʰɛ˧˧˦$
临	lin˨$
丸	ɦuɛ˨$
丹	tæ˦$
为	uɛ˥˧$
主	ʦɿ˥˧$
丽	li˩˩˧$
举	ʨi˥˧$
丿	pʰiəʔ˥$
乃	ʔna˥˧$
久	ʨiɤ˥˧$
乇	tʰoʔ˥$
么	moʔ˨$
义	ȵi˩˩˧$
之	ʦɿ˦$
乌	u˦$
乍	zo˩˩˧$
乎	ɦu˨$
乏	vaʔ˨$
乐	loʔ˨$
乒	pʰin˦$
乓	pʰã˦$
乔	ʥiɔ˨$
乖	kua˦$
乘	zən˨$
乙	iəʔ˥$
九	ʨiɤ˥˧$
乞	ʨʰiəʔ˥$
也	aʔ˥$
习	ziəʔ˨$
乡	ɕiã˦$
书	sɿ˦$
乩	ʨi˦$
买	ʔma˥˧$
乱	lɛ˩˩˧$
乳	zɿ˦˨$
乾	ʥiɛ˨$
亂	lɛ˩˩˧$
了	ʔliɔ˥˧$
予	i˥˧$
争	ʦã˦$
事	zɿ˩˩˧$
二	ȵi˩˩˧$
亍	ʦʰoʔ˥$
于	ɦi˨$
亏	kʰui˦$
云	ɦin˨$
互	ɦu˩˩˧$
亓	ʥi˨$
五	u˥˧$
井	ʦin˥˧$
亘	kən˧˧˦$
亙	kən˧˧˦$
亚	ia˧˧˦$
些	sin˦$
亞	ia˧˧˦$
亟	ʨiəʔ˥$
亡	vɔ̃˨$
亢	kʰɔ̃˧˧˦$
交	kɔ˦$
亥	ɦɛ˦˨$
亦	iaʔ˥$
产	ʦʰæ˥˧$
亨	hã˦$
亩	ʔm˥˧$
享	ɕiã˧˧˦$
京	ʨin˦$
亭	din˨$
亮	liã˩˩˧$
亲	ʦʰin˦$
亳	boʔ˨$
亵	siəʔ˥$
亶	tæ˥˧$
人	zən˨$
亿	i˧˧˦$
什	zəʔ˨$
仁	zən˨$
仂	ləʔ˨$
仃	tin˦$
仄	ʦəʔ˥$
仅	ʥin˩˩˧$
仆	pʰoʔ˥$
仇	zɤ˨$
仉	ʦã˥˧$
今	ki˦$
介	ga˩˩˧$
仍	zən˨$
从	zõ˨$
仑	lən˨$
仓	ʦʰɔ̃˦$
仔	ʦɿ˥˧$
仕	zɿ˦˨$
他	tʰa˦$
仗	zã˩˩˧$
付	fu˧˧˦$
仙	siɛ˦$
仝	dõ˨$
仞	zən˩˩˧$
仟	ʦʰiɛ˦$
仡	kəʔ˥$
代	dɛ˩˩˧$
令	lin˨$
以	i˥˧$
仨	sa˦$
仪	ȵi˨$
仫	mo˩˩˧$
们	mən˨$
仰	ʔȵiã˥˧$
仲	zõ˩˩˧$
仳	bi˨$
仵	u˥˧$
件	ʥiɛ˦˨$
价	ka˧˧˦$
任	zən˩˩˧$
份	vən˩˩˧$
仿	fɔ̃˥˧$
企	ʨʰi˥˧$
伉	kʰɔ̃˧˧˦$
伊	i˦$
伋	ʨiəʔ˥$
伍	u˥˧$
伎	ʥi˩˩˧$
伏	bu˩˩˧$
伐	va˨$
休	ɕiɤ˦$
伕	fu˦$
众	ʦõ˧˧˦$
优	iɤ˦$
伙	fu˥˧$
会	kui˧˧˦$
伛	i˥˧$
伞	sæ˧˧˦$
伟	ui˥˧$
传	zɛ˨$
伢	ɦa˨$
伤	sɔ̃˦$
伥	ʦʰã˦$
伦	lən˨$
伧	ʦʰɔ̃˦$
伪	ui˥˧$
伫	zɿ˦˨$
伯	paʔ˥$
估	ku˥˧$
伲	ʔȵi˥˧$
伳	siəʔ˥$
伴	bɛ˩˩˧$
伶	lin˨$
伸	sən˦$
伺	zɿ˩˩˧$
伻	pʰã˦$
似	zɿ˦˨$
伽	ga˨$
佃	diɛ˩˩˧$
但	dæ˩˩˧$
佇	zɿ˦˨$
佈	pu˧˧˦$
位	ɦui˩˩˧$
低	ti˦$
住	zɿ˩˩˧$
佐	ʦu˥˧$
佑	iɤ˧˧˦$
体	tʰi˥˧$
佔	ʦiɛ˧˧˦$
何	ho˦$
佖	piəʔ˥$
佗	du˨$
佘	zo˨$
余	ɦi˨$
佚	ɦiəʔ˨$
佛	vəʔ˨$
作	ʦoʔ˥$
佝	hɤ˧˧˦$
佞	ȵin˩˩˧$
佟	dõ˨$
你	ʔni˥˧$
佢	gi˩˩˧$
佣	iõ˦$
佩	bi˩˩˧$
佪	ɦui˨$
佬	ʔlɔ˥˧$
佮	kəʔ˥$
佯	jã˨$
佰	paʔ˥$
佳	ʨia˦$
併	pin˧˧˦$
佶	ʥiəʔ˨$
佻	tʰiɔ˦$
佼	ʨiɔ˥˧$
佾	ɦiəʔ˨$
使	sɿ˥˧$
侂	tʰoʔ˥$
侃	kʰɛ˥˧$
侄	zəʔ˨$
來	lɛ˨$
侈	ʦʰɿ˥˧$
侉	kʰo˧˧˦$
例	li˩˩˧$
侍	zɿ˩˩˧$
侏	ʦɿ˦$
侑	iɤ˧˧˦$
侔	mɤ˨$
侖	lən˨$
侗	dõ˦˨$
侘	ʦʰo˧˧˦$
供	kõ˧˧˦$
依	i˦$
侠	jaʔ˨$
侣	ʔli˥˧$
侥	ʨiɔ˥˧$
侦	ʦən˦$
侧	ʦəʔ˥$
侨	ʥiɔ˨$
侩	kui˧˧˦$
侪	zɛ˨$
侬	nõ˨$
侮	vu˦˨$
侯	ɦɤ˨$
侵	ʦʰin˦$
侶	ʔli˥˧$
侷	ʥioʔ˨$
侻	tʰəʔ˥$
便	biɛ˨$
俁	ʔȵi˥˧$
係	ʨi˧˧˦$
促	ʦʰoʔ˥$
俄	u˦$
俅	ʥiɤ˨$
俉	u˧˧˦$
俊	ʦin˧˧˦$
俎	ʦu˥˧$
俏	ʦʰiɔ˧˧˦$
俐	li˩˩˧$
俑	iõ˥˧$
俗	zoʔ˨$
俘	fu˦$
俚	ʔli˥˧$
保	pɔ˥˧$
俞	ɦi˨$
俟	zɿ˦˨$
俠	jaʔ˨$
信	sin˧˧˦$
俣	ʔȵi˥˧$
俨	ʔȵiɛ˥˧$
俩	liã˦˨$
俪	li˩˩˧$
俬	sɿ˦$
俭	ʥiɛ˦˨$
修	siɤ˦$
俯	fu˥˧$
俱	ʥi˩˩˧$
俳	ba˨$
俶	ʦʰoʔ˥$
俸	võ˩˩˧$
俻	bi˩˩˧$
俾	pi˥˧$
倀	ʦʰã˦$
倆	liã˦˨$
倉	ʦʰɔ̃˦$
個	kəʔ˥$
倌	kuɛ˦$
倍	bi˦˨$
倏	soʔ˥$
們	mən˨$
倒	tɔ˧˧˦$
倔	ʥiəʔ˨$
倖	ɦin˩˩˧$
倗	bã˨$
倘	tʰɔ̃˥˧$
候	ɦɤ˩˩˧$
倚	i˥˧$
倜	tʰiəʔ˥$
借	ʦia˧˧˦$
倡	ʦʰɔ̃˧˧˦$
倢	ziəʔ˨$
値	zəʔ˨$
倥	kʰõ˥˧$
倦	ʥiɛ˩˩˧$
倨	ʨi˧˧˦$
倩	ʦʰiɛ˧˧˦$
倪	ȵi˨$
倫	lən˨$
倬	ʦoʔ˥$
倭	u˦$
倷	nɤ˩˩˧$
债	ʦa˧˧˦$
值	zəʔ˨$
倾	ʨʰin˦$
偃	iɛ˥˧$
假	ka˥˧$
偈	ʥi˩˩˧$
偉	ui˥˧$
偌	ȵia˩˩˧$
偎	ui˦$
偏	biɛ˦˨$
偓	oʔ˥$
偕	ʨia˦$
做	ʦu˧˧˦$
停	din˨$
健	ʥiɛ˩˩˧$
偪	piəʔ˥$
偬	ʦõ˥˧$
偰	siəʔ˥$
側	ʦəʔ˥$
偵	ʦən˦$
